ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
1,天府新区华阳万东路80号附1号滨江和城,104.08183492908422,30.49083588971344,18584,170.0,91.48,3,7,南北,6.0,1,满二年,低层,32.0
2,"高新区世纪城世纪城路996号,天府大道中段177号天鹅湖北苑",104.06868177018376,30.55935748139332,15935,145.0,91.0,3,7,南北,6.0,1,满五年,高层,12.0
3,天府新区南湖南湖大道333号远大中央公园,104.04682782276916,30.493299218922427,18036,175.0,97.03,3,7,东,6.0,0,,高层,32.0
4,新都大丰花都大道789号嘉美华凯(一二期),104.057886804986,30.762774433094137,12030,118.0,98.09,3,6,北,12.0,1,满五年,低层,18.0
5,新都大丰金源街18号汇融广场B区,104.05909319324525,30.767942927751225,12398,113.2,91.31,3,6,东,8.0,1,满五年,中层,42.0
6,锦江三圣乡栀子街1097号人居东城花汇,104.15047235985745,30.59080559162815,19348,178.0,92.0,3,6,南,4.0,1,,中层,26.0
7,武侯机投镇武青北路76号上道西城,103.97637022988094,30.663480928253097,13449,129.0,95.92,3,7,南北,16.0,1,,高层,11.0
8,"金牛金牛周边大天路,天龙南一路222号保利公园里(一期)",104.08860227457112,30.76895640365898,16184,138.0,85.27,3,6,北,8.0,1,满二年,低层,29.0
9,锦江攀成钢岷江路1668号锦东庭园,104.1206446614518,30.6355223662884,20203,179.8,89.0,3,6,南北,9.0,1,满二年,中层,32.0
10,锦江川师水杉街166号蓝谷地五期,104.12463596052793,30.60443061250549,15114,133.0,88.0,3,5,南,12.0,1,满五年,中层,31.0
11,天府新区华阳广都上街138号南阳盛世,104.06036006226844,30.50578691362119,16643,127.0,76.31,2,5,南北,13.0,1,满二年,高层,33.0
12,新都三河厚诚路123号莱茵北郡,104.1461109590472,30.78245924080652,11965,113.0,94.45,3,7,南,9.0,1,,高层,18.0
13,成华龙潭寺湖景四路2号中国铁建北湖国际城二期,104.158255780805,30.70955457172468,14291,116.0,81.17,3,5,南,6.0,0,,低层,35.0
14,新都大丰方元路633号兴想花园,104.06059499420142,30.779106209837217,13117,116.0,88.44,3,6,南,12.0,1,满五年,高层,25.0
15,"天府新区南湖绿野路三段608号,牧华路三段2533号瑞升橡树林华府",103.90699853214008,30.53404290718137,16871,145.0,85.95,3,7,南,9.0,1,满二年,高层,34.0
16,"金牛国宾金瑞路118号,金耀路47号中环西岸观邸",104.00938231961854,30.70953349588537,17412,162.0,93.04,3,7,南北,11.0,1,满五年,中层,32.0
17,金牛金牛周边天龙南三路316号碧桂园城市花园,104.09338751256992,30.769295196370493,14470,135.0,93.3,3,7,西,7.0,1,满二年,高层,31.0
18,金牛金牛周边天龙南一路118号北星城,104.08806222759374,30.772165283224805,14266,138.0,96.74,4,8,东,5.0,1,满二年,低层,32.0
19,锦江春熙路大科甲巷3号春禧公寓,104.07656848735624,30.656876879317835,10834,130.0,120.0,3,7,南北,2.0,1,满二年,中层,22.0
20,"金牛国宾蜀西路66号,金水巷79号,金水三街699号龙樾熙城",103.98004239982914,30.727113666517948,18413,170.0,92.33,3,7,南北,6.0,1,满五年,中层,15.0
21,双流蛟龙港康家宴路二段188号万科第五城四期,103.92457224152224,30.63038062340724,14340,130.0,90.66,3,7,南,8.0,1,,低层,24.0
22,龙泉驿政务中心桃都大道888号新城吾悦广场,104.23806626187444,30.58008919971233,13881,122.0,87.89,3,7,北,8.0,1,,低层,34.0
23,天府新区华阳和平路876号海伦印象,104.04568895608443,30.52597332147057,18495,172.0,93.0,3,6,西南,6.0,1,满二年,高层,32.0
24,武侯机投镇武青南路10号华都星公馆(一期),103.97834858196867,30.64428883889283,11220,138.0,123.0,4,8,南北,18.0,1,满五年,中层,7.0
