houseArea,houseAge,houseFloorSum,distance,houseBedroom,houseBathroom,houseLivingRoom,busAround,shopping_mallAround,parkAround,subwayAround,schoolAround,houseOrientation_东北,houseOrientation_东西,houseOrientation_北,houseOrientation_南,houseOrientation_南北,houseOrientation_西,houseOrientation_西北,houseOrientation_西南,houseHousingPeriod_满二年,houseHousingPeriod_满五年,houseFloorType_低层,houseFloorType_高层,unitPrice
-0.003371277194552553,-0.5327259375984955,1.0734656969156944,0.8123591889385722,2.0,1.0,2.0,10.0,10.0,0.0,0.0,10.0,0,0,0,0,1,0,0,0,0,1,1,0,9.969556152505833
-0.25208876084137627,-0.74843342720372,1.6610684175552952,-0.2023638737346549,2.0,1.0,2.0,10.0,10.0,0.0,2.0,3.0,0,0,0,1,0,0,0,0,1,0,0,1,10.037756173341162
-0.01726610868320192,-0.8562871720063323,0.19206161595629315,0.4138134012923751,3.0,1.0,2.0,10.0,10.0,0.0,0.0,10.0,0,0,0,0,1,0,0,0,0,1,0,1,9.974784434418162
0.5260218025229882,-1.9158673723504955e-16,3.4793070388611656e-16,-0.028011984270017606,2.0,2.0,2.0,10.0,10.0,5.0,4.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,10.239959789157341
-0.22429909786407756,-0.3170184479932709,0.9755319101424276,-0.2982263361317515,1.0,1.0,2.0,10.0,10.0,0.0,0.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,9.801953041711831
-0.4304983971556342,-0.5327259375984955,3.423876579474097,-0.7650617225812383,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,10.905607296014702
-0.14093010893218136,-1.0719946616115568,1.6610684175552952,-0.1630297112455843,2.0,1.0,2.0,10.0,10.0,1.0,1.0,10.0,0,0,0,1,0,0,0,0,1,0,1,0,10.09311568451252
-0.02977145702298643,-1.9158673723504955e-16,3.4793070388611656e-16,-0.2999185318290049,2.0,2.0,2.0,10.0,10.0,1.0,0.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,10.500013694491647
-0.3632474127505712,0.43795776562501504,-0.9831438253229084,-0.5001099810706071,2.0,1.0,2.0,10.0,10.0,0.0,3.0,10.0,0,0,0,1,0,0,0,0,0,1,0,0,9.866719828343914
0.025529972301837907,-1.1798484064141692,1.6610684175552952,-0.1780753962448929,2.0,1.0,2.0,10.0,10.0,0.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,1,10.22672980038646
-0.23319179001681298,-0.74843342720372,1.4652008440087616,-0.324641641249352,2.0,1.0,2.0,10.0,10.0,0.0,2.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,10.152766577454964
0.22033550977270216,0.5458115104276273,-0.49347489145657447,-0.10413895088829825,2.0,1.0,2.0,10.0,10.0,1.0,1.0,4.0,0,0,0,0,1,0,0,0,0,1,0,1,9.689922976002242
0.6371804544321832,-1.9158673723504955e-16,3.4793070388611656e-16,-0.005239677133448646,2.0,2.0,2.0,10.0,10.0,2.0,3.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,10.663685720345683
-0.24041710239091077,-1.0719946616115568,1.1713994836889612,-0.1646789760000395,2.0,1.0,1.0,10.0,10.0,1.0,2.0,10.0,0,0,0,1,0,0,0,0,0,0,1,0,10.177704374034338
-0.20095578096314654,-0.9641409168089445,1.759002204328562,-0.0636257198973291,1.0,1.0,2.0,10.0,10.0,0.0,2.0,10.0,0,0,0,1,0,0,0,0,0,1,0,0,9.326700173092378
0.1647561838181047,-1.9158673723504955e-16,3.4793070388611656e-16,0.8654453451296387,2.0,2.0,2.0,3.0,10.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,10.262140538858489
0.6557995286269733,-0.6405796824011077,1.6610684175552952,-0.3985272603684267,2.0,2.0,2.0,10.0,10.0,0.0,1.0,7.0,0,0,0,1,0,0,0,0,0,1,0,1,10.067517839357832
0.8317080952732743,-0.6405796824011077,1.4652008440087616,-0.17437696654034335,3.0,2.0,2.0,10.0,10.0,1.0,4.0,8.0,0,0,0,0,1,0,0,0,0,0,1,0,10.390225380773028
0.0813871948862085,-1.9158673723504955e-16,3.4793070388611656e-16,-0.1492137235263288,2.0,2.0,2.0,10.0,10.0,2.0,2.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,10.319034995985804
0.0866672308518952,-0.9641409168089445,1.0734656969156944,0.7598859614115464,2.0,1.0,2.0,6.0,7.0,0.0,0.0,10.0,0,0,0,0,1,0,0,0,1,0,0,0,10.006946260904359
-0.46329019946884653,-0.74843342720372,1.6610684175552952,-0.6335720960709075,1.0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,10.349294539927671
0.09694940615349586,-1.0719946616115568,0.19206161595629315,0.7199291742462102,2.0,2.0,2.0,9.0,9.0,0.0,0.0,10.0,0,0,0,0,1,0,0,0,1,0,0,0,10.038935856711177
0.35928382465919584,-1.9158673723504955e-16,3.4793070388611656e-16,-0.3116294681585808,2.0,2.0,2.0,10.0,10.0,1.0,2.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,10.37695392954475
-0.23013492708931013,-0.5327259375984955,1.3672670572354948,0.17926253157327376,2.0,1.0,2.0,10.0,10.0,1.0,2.0,6.0,0,0,0,0,1,0,0,0,0,0,1,0,10.315133519719373
0.02580786893161104,-0.9641409168089445,1.4652008440087616,-0.6525811989765543,2.0,1.0,2.0,10.0,10.0,1.0,1.0,5.0,0,0,0,0,1,0,0,0,1,0,0,0,10.46458795217574
