houseArea,houseAge,houseFloorSum,distance,houseBedroom,houseBathroom,houseLivingRoom,busAround,shopping_mallAround,parkAround,subwayAround,schoolAround,houseOrientation_东北,houseOrientation_东南,houseOrientation_北,houseOrientation_南,houseOrientation_南北,houseOrientation_西北,houseOrientation_西南,houseHousingPeriod_满二年,houseHousingPeriod_满五年,houseFloorType_低层,houseFloorType_高层,unitPrice
-0.28715243884516983,0.0,0.0,1.7210952475988928,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,9.356602878954435
-0.12434872510518524,-0.5881991063203583,0.6063225221909753,-0.34410585571837765,2.0,1.0,2.0,10.0,10.0,3.0,0.0,10.0,0,0,0,1,0,0,0,0,1,0,1,9.427626803805994
0.13400147195745998,-0.05035027507480913,0.6063225221909753,-0.32723401156146614,2.0,1.0,2.0,10.0,10.0,3.0,0.0,10.0,0,0,0,0,1,0,0,0,0,0,1,9.22197245620589
-0.137275602260604,0.0,0.0,-0.0011658235039522934,2.0,1.0,2.0,5.0,10.0,1.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,9.157256000883727
0.14617896492995608,-0.9467649938173912,0.7855674605525474,-0.3646115876702124,3.0,1.0,2.0,10.0,10.0,3.0,0.0,10.0,0,0,0,0,1,0,0,0,1,1,0,9.344871264933788
0.26008536073422633,0.3082156124222237,-0.558769577159244,-0.562243819618331,2.0,1.0,2.0,10.0,10.0,1.0,2.0,10.0,0,0,0,0,1,0,0,0,0,1,0,9.117237753713859
-0.6378642364530539,-0.05035027507480913,0.7855674605525474,-0.31604099187522566,2.0,1.0,2.0,10.0,10.0,1.0,0.0,10.0,0,0,0,1,0,0,0,0,1,0,0,9.361085258668608
-0.3808254617105235,0.0,0.0,0.24677290520451475,2.0,1.0,2.0,10.0,10.0,0.0,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,9.411974239802511
-0.5895289566545314,-0.05035027507480913,0.24783264546783088,-0.3938944689099487,1.0,0.0,2.0,8.0,10.0,4.0,0.0,10.0,0,0,0,1,0,0,0,0,1,1,0,9.557611235839621
-0.059152301190899016,-1.305330881314424,2.219526967445125,-0.12303223467328564,2.0,1.0,2.0,10.0,10.0,0.0,2.0,5.0,0,0,0,1,0,0,0,1,0,0,0,9.432122997651051
0.24228748638980885,2.280327993655904,-0.9172594538823884,-0.6723684606473422,3.0,1.0,2.0,10.0,10.0,2.0,2.0,8.0,0,0,0,0,1,0,0,0,0,0,0,9.298442820197728
-0.5477507884565836,-0.5881991063203583,0.7855674605525474,-0.10476231767804428,2.0,1.0,2.0,10.0,10.0,1.0,1.0,10.0,0,0,0,0,1,0,0,0,1,0,0,9.329544619454659
