houseArea,houseAge,houseFloorSum,distance,houseBedroom,houseBathroom,houseLivingRoom,busAround,shopping_mallAround,parkAround,subwayAround,schoolAround,houseOrientation_东北,houseOrientation_东南,houseOrientation_东西,houseOrientation_北,houseOrientation_南,houseOrientation_南北,houseOrientation_西,houseOrientation_西南,houseHousingPeriod_满二年,houseHousingPeriod_满五年,houseFloorType_低层,houseFloorType_高层,unitPrice
-0.3270137975211614,-0.48608072344840925,-1.03284971940276,-0.0842159349348039,2.0,1.0,2.0,10.0,10.0,2.0,1.0,9.0,0,0,0,0,1,0,0,0,0,1,0,1,10.517645636845701
0.3154193132506048,0.0,0.0,-0.33377782876644774,3.0,1.0,2.0,10.0,10.0,0.0,1.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,10.165851817003619
-0.35345632032187035,-0.04750884801814655,1.0756649276131942,-0.387983879643861,1.0,0.0,2.0,10.0,10.0,2.0,0.0,10.0,0,0,0,0,1,0,0,0,0,1,0,0,10.18701098983905
-0.3051786839963339,0.5007059962696818,-1.1382754517535578,0.5784671658696869,1.0,0.0,2.0,10.0,10.0,0.0,1.0,10.0,0,0,0,0,1,0,0,0,0,0,1,0,9.764914902672189
-0.29396064402027555,-1.253581505451369,0.9702391952623964,0.7708760241916179,2.0,1.0,2.0,10.0,10.0,0.0,1.0,10.0,0,0,0,0,1,0,0,0,0,0,0,1,10.252558660448129
-0.2881513018898167,-0.924652598878672,0.9702391952623964,0.45301574884277207,2.0,1.0,2.0,10.0,9.0,0.0,0.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,10.044726664228852
-0.2248495048820593,1.2682067782726416,0.5485362658592056,-0.4979852247321873,2.0,0.0,1.0,10.0,10.0,4.0,1.0,10.0,0,0,0,0,1,0,0,0,0,1,1,0,9.842250243064939
-0.292157744738409,0.06213412083941913,1.6027935893671827,0.1739899716917195,2.0,0.0,2.0,10.0,10.0,1.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,10.186483662997194
-0.31860026753911797,-0.3764377545908436,-0.2948695929471761,0.5923091071520865,2.0,0.0,2.0,9.0,10.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,1,1,0,9.85303600904003
0.01493609960618648,0.0,0.0,0.3823349639295337,2.0,1.0,2.0,10.0,10.0,0.0,0.0,10.0,0,0,0,0,1,0,0,0,0,0,0,0,10.308952660644293
-0.30658093899334105,-0.48608072344840925,1.813645054068778,0.3360050199757501,2.0,0.0,2.0,10.0,10.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,1,9.869775638050593
-0.30057127472045275,-0.8150096300211063,0.759387730560801,0.2935322330508431,2.0,0.0,2.0,10.0,10.0,0.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,9.716133353214099
-0.1347045407887338,-1.253581505451369,0.12683333645601477,0.13712848106983347,2.0,1.0,2.0,9.0,10.0,0.0,0.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,9.877246241330901
-0.3200025225361251,-0.8150096300211063,0.5485362658592056,0.045923668548882815,2.0,0.0,2.0,10.0,10.0,0.0,2.0,10.0,0,0,0,0,1,0,0,0,0,1,1,0,10.01305918896542
