,ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
49,50,朝阳垡头焦化厂地铁站东侧500米保利·锦上二期,116.5295752688402,39.857799569441696,71045,476.0,67.0,2,5,南,
50,51,朝阳甜水园甜水园街秀水园小区,116.4704825989959,39.92792358873712,65410,399.0,61.0,2,4,南北,31.0
51,52,丰台青塔大成路长安新城(二区),116.25598042210477,39.887962180312236,58248,565.0,97.0,2,4,南北,17.0
52,53,西城车公庄西直门外南路进步巷小区,116.3427253192195,39.93664406369585,97266,498.0,51.2,2,4,南,43.0
53,54,昌平霍营龙跃街7号首开国风美唐臻观,116.35516773394806,40.07601780066773,67475,590.0,87.44,2,4,南,9.0
54,55,朝阳望京望京北路39号澳洲康都,116.4524350536772,40.01162341900909,71912,489.0,68.0,1,4,南,17.0
55,56,海淀清河育新花园西路莱圳家园北区,116.33978219265288,40.04506043380664,79904,530.0,66.33,1,3,东南,17.0
56,57,大兴亦庄西环北路天宝家园,116.4830565664039,39.78923844641869,56806,490.0,86.26,2,4,南北,21.0
57,58,海淀清河前屯路机械工业学院家属院,116.34290956025927,40.03590750998943,63759,475.0,74.5,2,4,东,25.0
58,59,海淀清河永泰庄路永泰园(南区),116.34316355541932,40.03196682360361,70708,490.0,69.3,2,4,南北,31.0
59,60,大兴亦庄东渠路金色漫香林(四期),116.51153579401328,39.82203868913142,56009,508.0,90.7,2,5,南北,14.0
60,61,海淀田村八角北路建西苑中里,116.20263294411188,39.918630225140284,72698,495.0,68.09,2,4,南北,20.0
61,62,朝阳常营常营中路3号保利嘉园3号院,116.60011733964234,39.928113165797605,46293,412.0,89.0,2,4,西南,14.0
62,63,朝阳朝阳公园东三环北路枣营南里,116.46666393498155,39.943631260087955,66965,390.0,58.24,2,4,南,38.0
63,64,丰台长辛店太柏西路2号珠光逸景(二号院),116.17207892263106,39.83440709422338,40761,375.0,92.0,3,6,南北,10.0
64,65,大兴亦庄文化园西路8号林肯公园C区,116.48586197073685,39.80275273761594,69280,640.0,92.38,2,5,南北,8.0
65,66,朝阳双井百子湾南一路后现代城(D区),116.47937058833625,39.8968873797701,65358,599.0,91.65,2,4,东北,18.0
66,67,海淀人民大学三义庙路三义庙社区(东区),116.30661600135065,39.964778343243246,84791,485.0,57.2,2,4,南北,42.0
67,68,朝阳望京阜安西路望京西园一区,116.4704693301945,40.00210508448697,58913,545.0,92.51,3,5,南北,27.0
68,69,朝阳定福庄定福庄北街东领鉴筑家园,116.54665062885118,39.91820325660996,44244,435.0,98.32,2,4,东南,19.0
69,70,朝阳太阳宫太阳宫中路万方景轩,116.4428935969731,39.97089790836697,93334,588.0,63.0,1,4,东北,18.0
70,71,朝阳朝青板块青年路西里2号国美第一城2号院,116.50587138400252,39.93262383973833,57475,569.0,99.0,2,4,东南,18.0
71,72,西城宣武门椿树园17号椿树园奥运社区,116.37196816962879,39.89256428053354,103223,599.0,58.03,1,3,西北,25.0
72,73,海淀清河永泰庄路永泰西里(南区),116.34823171631851,40.03181823069162,71368,415.0,58.15,2,4,南北,31.0
73,74,海淀马连洼马连洼北路菊园,116.28479191032525,40.03128722981184,73782,430.0,58.28,2,4,南北,29.0
74,75,朝阳朝青板块青年路西里3号国美第一城3号院,116.50915167722567,39.93218404032085,62346,505.0,81.0,2,5,东,17.0
75,76,朝阳亚运村安立路慧忠北里第二社区,116.40042388270129,40.00545282696751,57665,550.0,95.38,3,5,南北,27.0
76,77,朝阳双井百子湾路16号后现代城(B区),116.47847408236929,39.898553643279385,66861,599.0,89.59,2,4,南,20.0
77,78,大兴高米店兴华大街二段19号保利茉莉公馆,116.32266080388078,39.7737106596028,57813,518.0,89.6,2,4,南,12.0
