ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
45,浦口高新区兰新路46号蓝海雅苑(A区),118.70867753526203,32.17864420737933,14223,125,87.89,2,5,南北,6.0
46,栖霞燕子矶佘冲街中海燕矶听潮B区,118.82858719910969,32.13756507744017,28317,286,101,3,7,南北,24.0
47,栖霞迈皋桥伏家场街2号海赋尚城二期,118.83200444681253,32.13238128209911,26869,266,99,3,7,南北,24.0
48,栖霞迈皋桥和燕路390号金浦御龙湾,118.8105062454812,32.11245904869798,31455,346,110,3,7,南,
49,浦口桥北天华北路6号天润城第十四街区,118.7255210446644,32.15998542122957,15691,135,86.04,3,6,南北,10.0
50,秦淮月牙湖石杨路107号银龙鑫苑北苑,118.86136726293466,32.00803506234577,19718,170,86.22,3,5,南,12.0
51,浦口桥北浦洲路66号威尼斯水城第十九街区,118.75310198118126,32.15472071213135,10919,97,88.84,2,5,南北,5.0
52,雨花台西善桥数字大道与知书路交汇处万科朗拾雨核,118.8004160986587,31.972362849646576,37374,370,99,3,7,南,
53,江宁九龙湖铺岗街263号殷巷新寓,118.83117845904061,31.9197670585428,15639,147,94,3,5,南北,16.0
54,浦口高新区朗山路1号朗诗未来街区(东区),118.70793402415437,32.18837395850851,18209,135,74.14,3,6,南北,8.0
55,浦口顶山九袱洲路与广西埂大街交汇处保利扬子萃云台,118.68463776988193,32.092217041759504,39810,418,105,3,7,南,
56,栖霞仙林大学城杉湖西路8号东方天郡(西区),118.91195188603692,32.09883340100822,31298,350,111.83,3,7,南,17.0
57,溧水溧水区永湖路188号恒大金碧天下,119.05839721931646,31.698662647442315,4942,42.5,86,2,5,南北,5.0
58,浦口江浦街道江北新区城南河路与横江大道交汇处（砂之船奥特莱斯正对面）越江时代,118.64862551999133,32.04215694329108,33000,363,110,3,7,南,
59,秦淮夫子庙秦状元里60-64号秦状元里60-64号小区,118.77748845311658,32.02308602361157,28724,259,90.17,3,5,南北,31.0
60,雨花台板桥新城大方路金地自在城(六期),118.65963586295622,31.904774985002376,15883,135,85,2,5,南北,8.0
61,栖霞迈皋桥华银路19号燕歌园,118.85274797961365,32.116810622985085,13380,62,46.34,1,3,南,11.0
62,建邺建邺万达广场庐山路9号宏图上水云锦二期,118.73688791614096,32.01690251484511,59553,668,112.17,3,6,南北,6.0
63,浦口高新区兰新路45号蓝海雅苑(B区),118.708849572137,32.178230082647296,12308,120,97.5,3,6,南,4.0
64,秦淮月牙湖石杨路108号世茂君望墅,118.8618048124845,32.009144879560274,30452,310,101.8,3,7,南北,7.0
65,浦口江浦街道10号线雨山路地铁口150米天街TOD龙湖天曜城,118.61106557570112,32.04870957588915,25926,350,135,3,7,南,
66,江宁麒麟科技城麒东路777号东郊小镇第一街区,118.95264192357565,32.05553778927654,9305,93,99.95,3,6,南北,17.0
67,鼓楼热河南路南通路88号世茂外滩新城,118.73084809840894,32.08345901480718,33350,350,104.95,2,4,南,11.0
68,溧水溧水区群力大道19号创维文汇苑,119.00788218200576,31.68277969081508,6816,60,88.04,3,6,南北,5.0
69,栖霞迈皋桥迈尧路89号中铁青秀城,118.82524523099242,32.11862629740194,23565,282,119.67,3,7,南,8.0
70,秦淮月牙湖高桥门199号银龙花园(二期),118.84583927702673,32.00447542656566,18736,163,87,3,5,南北,19.0
71,鼓楼水佐岗马鞍山路2号马鞍山2号小区,118.75649779405241,32.068904281603544,53344,288,53.99,2,4,南,29.0
72,浦口桥北南浦路311号天润城第一街区,118.73404297609974,32.14631239403314,15289,159,104,3,6,南北,12.0
73,南京周边镇江仙林东路6号仙林悦城,118.91546893982797,32.10053675623737,5656,49.2,87,3,6,南北,5.0
74,浦口高新区永固路3号亚泰山语湖,118.69833187394858,32.18422296524006,29834,260,87.15,3,6,南北,7.0
75,栖霞迈皋桥华电路82号中电颐和府邸A区,118.80999915797601,32.10196850817204,31287,399,127.53,3,7,南北,6.0
76,栖霞尧化门前塘路8号金地明悦,118.88554321414429,32.135125759036896,18872,175,92.73,3,5,南,11.0
77,滨江开发区谷里锦华北路9号南京碧桂园浅山苑,118.69100629594922,31.884592213827734,13520,169,125,3,7,南北,7.0
78,栖霞迈皋桥怡宁路1号万象天地九悦(西区),118.82638044511177,32.122380274619196,37994,375,98.7,3,5,南,4.0
79,鼓楼宁海路西康路3号西康路3号小区,118.75766987772153,32.06023624996325,53969,340,63,2,4,南,34.0
80,栖霞尧化门尧佳路95号尧顺佳园(北区),118.88904206401418,32.13072695536344,14483,126,87,3,6,南,30.0
81,栖霞仙林湖学森路8号高科荣境2期,118.9719031292698,32.12323859707475,30939,286,92.44,3,6,南,6.0
82,江宁将军大道秦淮路98号左岸名苑,118.77868805392848,31.957715800391238,22662,315,139,3,7,南北,16.0
83,玄武孝陵卫顾家营路61号紫金华府(二期),118.79281910403628,32.05047485329524,35379,422,119.28,3,7,南北,6.0
84,秦淮瑞金路瑞金路36号瑞金新村,118.80690378321306,32.03248121054359,30383,198,65.17,2,4,南北,43.0
85,浦口江浦街道望江路2号正荣润锦城,118.66649638713479,32.073099910305686,23863,205,85.91,3,6,南,7.0
86,浦口高新区星火路8号新城香溢紫郡雅苑,118.6914154947926,32.166397109539744,21795,170,78,3,6,南,9.0
87,浦口桥北天华北路1号天润城十六街区(北区),118.72261429299618,32.1583286826533,13914,125,89.84,2,5,南北,8.0
88,浦口高新区侨谊路2号招商兰溪谷,118.70407284388494,32.18609228436917,21780,165,75.76,3,6,南北,7.0
89,建邺茶南集庆门大街168号中北英郡,118.74145449581533,32.03062097689595,47909,418,87.25,2,5,南北,10.0
90,雨花台板桥新城柿子树街7号富力尚悦居(一期),118.66994085221845,31.919057393103646,18760,195,103.95,3,6,南北,7.0
91,栖霞迈皋桥壮举路燕江新城燕鸣苑,118.8380027030122,32.13478385752361,11268,80,71,2,4,南,5.0
92,雨花台板桥新城石闸街2号宋都南郡(北区),118.66278587924079,31.914747627467385,14619,130,88.93,3,6,南北,7.0
93,建邺江心洲红星街90号洲岛家园绿洲苑,118.6928845087776,32.02460463604684,21653,180,83.13,3,6,南,10.0
94,玄武孝陵卫双拜巷98号晏公庙新村,118.85767682972433,32.03419467436179,21713,105,48.36,2,4,南北,34.0
95,南京周边镇江宝华大道宝华花园,118.75443838041323,32.10840228385835,3978,35,88,2,5,南,9.0
96,秦淮大光路大光路117号香格里拉花园,118.79914403327523,32.027557586169344,35339,470,133,3,7,南北,5.0
97,浦口桥北柳州东路211号威尼斯水城第十一街区,118.75230677772907,32.14297250213303,13986,129,92.24,2,5,南北,9.0
98,栖霞燕子矶晓庄街1号三金燕语庭,118.81893472124545,32.13390628447849,28945,315,108.83,3,6,南北,9.0
99,雨花台铁心桥福园路云望府,118.74323311615319,31.949684637915603,26807,260,96.99,3,6,南北,2.0
100,浦口顶山浦园路江月府,118.71505408215981,32.11046795647064,20946,225,107.42,3,6,南北,9.0
101,雨花台板桥新城凤汇大道15号明发浦泰梦幻家,118.63622462745545,31.923852853243638,15272,133,87.09,3,6,南北,7.0
102,栖霞燕子矶燕栖路29号燕熙台(西区),118.82929431975899,32.14091253075537,31702,340,107.25,3,7,南,3.0
103,玄武珠江路杨将军巷杨将军巷住宅小区,118.78778906848352,32.048461096907715,42308,220,52,2,4,南北,29.0
104,六合龙池|虎跃东路保利观棠和府,118.80760287371572,32.30885069458635,10972,96,87.5,3,6,南,2.0
105,六合龙池龙湾路92号冠城大通蓝郡梅苑,118.81512716937847,32.3149885834573,13182,116,88,3,6,南北,6.0
106,建邺奥南吴侯街158号五矿崇文金城,118.6919226677822,31.9696220697192,37488,339,90.43,3,6,南,7.0
107,玄武卫岗紫金东路2号紫金南苑,118.84298033704493,32.023807162626454,35563,360,101.23,2,5,南北,11.0
108,秦淮夫子庙龙蟠中路399号东城水岸,118.79515244593732,32.027165003517865,30852,445,144.24,3,7,南北,5.0
109,六合雄州王桥路199号华城名府,118.83389035766585,32.333822625992674,13667,135,98.78,3,6,南北,11.0
110,鼓楼五塘广场幕府西路33号金域中央街区1,118.76679351021683,32.1060845045267,29091,320,110,3,6,南北,14.0
111,江宁科学园天印大道丝织厂小区,118.85571565525713,31.953639726710144,15429,108,70,2,4,南北,16.0
112,滨江开发区滨江润寿北路盛江花苑石榴园,118.5959917133526,31.866740717628055,7885,82,104,3,6,南北,12.0
113,南京周边镇江仙林大道18号恒大雅苑,118.71328369393487,31.98946674334695,5645,75.3,133.41,3,7,南北,4.0
114,栖霞燕子矶门坡街15号弘阳燕江府,118.82242145352505,32.14039398725408,26138,236,90.29,3,6,南北,6.0
115,江宁麒麟科技城麒东路777-9号银亿东城第九街区,118.93969299236397,32.066726067412006,14637,130,88.82,3,7,南北,6.0
116,江宁麒麟科技城丹青路银河湾紫苑,118.91528773550262,32.04849971436969,17630,185,104.94,3,6,南北,14.0
117,六合龙池集群路68号龙池花园,118.80482548704047,32.32270249780459,6210,55,88.58,3,6,东,16.0
118,浦口桥北天华南路天润城第十三街区,118.73062733098548,32.15771087050612,13112,118,90,3,6,南北,13.0
119,浦口江浦街道白马路88号融侨观邸,118.62452775198405,32.08119942432754,18829,163,86.57,2,5,南北,9.0
120,浦口桥北京新路628号天润城第十二街区,118.72620751376301,32.155596775132075,20439,179,87.58,3,6,南北,11.0
121,浦口江浦街道河滨路269号中海左岸澜庭,118.65124205101039,32.04803438144648,24553,240,97.75,3,6,南,3.0
122,鼓楼中央门小市街148号小市街148号小区,118.78470564643644,32.09599624392798,19216,98,51,2,4,南北,26.0
123,栖霞迈皋桥和燕路390号金浦御龙湾FG区,118.8105062454812,32.11245904869798,27505,240,87.26,3,5,南,7.0
124,六合葛塘葛中路20号永恒家园(二期),118.74295676737654,32.248668077796246,11778,146,123.96,3,7,南北,11.0
125,六合雄州茉湖东路上棠颐和府(B区),118.82929571423793,32.31804872696033,13069,115,88,3,6,南,3.0
126,浦口高新区柳新路28号新桥家园,118.70374941901903,32.13650384356912,10508,102,97.07,3,6,南北,8.0
127,建邺奥南高庙路7号清润园小区,118.70035417499915,31.965347128032075,19821,115,58.02,2,4,南,8.0
128,雨花台安德门雨花南路51号君悦城市花园,118.7575212471977,31.9995446393448,29359,279.9,95.34,2,5,南,17.0
129,栖霞马群百水桥南路南湾营馨康苑,118.88813870838482,32.03783272033228,13954,120,86,3,5,南北,11.0
130,浦口江浦街道康健路9号金地风华国际,118.64972130813268,32.05060206376975,26289,255,97,3,6,南北,3.0
131,江宁科学园天元东路228号莱茵东郡,118.85440848078586,31.937854153459227,19906,198,99.47,3,6,南,22.0
132,浦口桥北浦园北路6号香邑美颂,118.71793811336622,32.11168092207421,20277,235,115.9,4,7,南北,14.0
133,鼓楼宁海路随园14号随园小区,118.77198759929922,32.05297884469065,25622,165,64.4,3,5,南,29.0
134,鼓楼五塘广场幕府东路57号云谷山庄,118.78425825501805,32.11758371021819,26222,176,67.12,2,4,南,13.0
135,栖霞燕子矶燕春路26号金科博翠花园,118.82036671908325,32.13956156487168,31987,365,114.11,3,7,南,4.0
136,浦口江浦街道镇南河路99号正荣润江城,118.66883094279629,32.060743566302236,31637,279,88.19,3,6,南北,7.0
137,栖霞燕子矶佘冲街6号中海燕矶听潮C区,118.82658648737815,32.1371596246423,28000,280,100,3,5,南,4.0
138,江宁九龙湖长亭街60号保利中央公园西苑,118.8220593626599,31.903003194467367,31587,299,94.66,3,6,南北,5.0
139,玄武月苑过街山路27号中海玄武公馆C区,118.81449473737815,32.09851277762479,41900,390,93.08,3,5,南,6.0
140,雨花台西善桥天保桥路7号长盛西苑,118.68165195050138,31.943694412560703,10834,52,48,1,3,南北,9.0
141,南京周边镇江仙林东路6号仙林国际花园,118.91546893982797,32.10053675623737,6121,55,89.85,3,6,南北,4.0
142,六合雄州雄州南路168号金都悦园,118.82396617108498,32.33011939678442,9428,85,90.16,3,6,南北,12.0
143,栖霞马群花港路23号中南世纪雅苑二期,118.90411147866514,32.039930891738415,19187,165,86,3,6,南,5.0
144,江宁百家湖静淮街128号中航樾府,118.79415222687166,31.932839814397422,32093,300,93.48,3,7,南北,10.0
145,六合雄州吉棠大道2号荣盛华府,118.83618110268138,32.33471097515906,14071,158,112.29,3,7,南北,6.0
146,栖霞栖霞山毕升路半山云邸,118.9646372905186,32.160317120793565,28149,380,135,4,8,南北,3.0
147,浦口江浦街道江淼路风华府,118.62887373909047,32.04901646371703,24243,320,132,4,9,南北,3.0
148,江宁江宁大学城玉树路9号天正天御溪岸(A区),118.89753780362695,31.911466265522154,25363,350,138,4,8,南北,12.0
149,玄武卫岗东苑路银城东苑,118.84180499608229,32.029432641781895,34009,420,123.5,3,6,南北,16.0
150,浦口桥北天华东路101号威尼斯水城第十四街区,118.74823931410447,32.15160116296559,15970,134,83.91,2,5,南北,9.0
151,栖霞尧化门尧辰路尧辰景园,118.875707541563,32.133476784679196,12225,82,67.08,2,4,南北,7.0
152,栖霞迈皋桥和燕路329号大地伊丽雅特湾,118.81067515521319,32.116850198250226,24126,202,83.73,2,5,南,13.0
153,栖霞迈皋桥迈尧路328号万寿花苑,118.824815467517,32.11638750767901,18778,169,90,3,5,南,21.0
154,江宁百家湖天元西路51号中锐星湖名邸,118.81114218947349,31.929143320413647,34243,368,107.47,3,7,南北,5.0
155,栖霞迈皋桥宜春街万科燕语光年,118.82188313631812,32.12114331026026,32023,285,89,3,6,南北,24.0
156,栖霞迈皋桥华银路17号燕舞园,118.84906988170712,32.117510317179445,14346,130,90.62,3,5,南北,11.0
157,鼓楼江东汉中门大街301号苏宁睿城,118.72814919685736,32.04109401207158,48208,550,114.09,3,6,南北,12.0
158,雨花台小行软件大道中南锦苑,118.74440955379978,31.98087513155138,38365,333,86.8,3,5,南,6.0
159,栖霞迈皋桥寅春路凤来南园,118.84034160833794,32.11735663993626,12879,85,66,2,4,南,7.0
160,滨江开发区谷里锦华北路9号南京碧桂园逸谷苑,118.69191460232578,31.8824775878089,11392,131,115,3,7,南北,6.0
161,栖霞燕子矶伏家场街1号海赋尚城一期,118.83154310804647,32.13384810711544,19939,195,97.8,3,7,南,6.0
162,浦口江浦街道万寿路56号江与城,118.66714668206556,32.07848321382271,28688,345,120.26,3,7,南,3.0
163,玄武孝陵卫顾家营路77号紫金华府(一期),118.8742864977385,32.04116146575708,37541,370,98.56,3,6,南北,6.0
164,浦口江浦街道河滨路55号城市花园,118.82828952713409,31.954806604863954,15749,200,127,3,6,南北,20.0
165,栖霞仙林湖守敬路9号万达茂御湖仕家一期,118.97944140915432,32.122724150258634,22046,194,88,3,6,南北,9.0
166,浦口高新区新华西路458号盘金华府,118.7268063077369,32.205376001967565,10225,89,87.05,2,5,南北,16.0
