ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
41,思明火车站厦禾路1026号益泰大厦,118.11326469039616,24.47371726285935,43770,209.0,47.75,2,5,北,18.0,1,,低层,23.0
42,思明火车站厦禾路1116-1120号假日花园,118.11504798211622,24.475017325923176,72697,688.0,94.64,5,12,南北,21.0,1,满二年,高层,12.0
43,"思明前埔前埔二里129-224号,田厝路1-27号前埔北区二里",118.16814687770128,24.476731974386382,38776,370.0,95.42,3,6,南,23.0,1,满五年,高层,6.0
44,集美集美新城龙亭一里2-12号莲花新城(三期),118.05208997026716,24.60768731050586,27918,338.0,121.07,3,7,南,7.0,1,满五年,高层,29.0
45,湖里枋湖梧桐西里1-13号中央美地,118.139508470438,24.51258600807296,54849,483.0,88.06,2,6,南,12.0,0,,高层,22.0
46,思明禾祥东路禾祥东路28号金祥大厦,118.1045863779128,24.47289609701165,40404,898.0,222.26,8,14,南北,24.0,1,满五年,高层,24.0
47,集美嘉庚体育馆乐海北里221-230号泉舜泉水湾(二期),118.10662010893724,24.58910743350425,28361,250.0,88.15,2,5,南,14.0,0,,中层,26.0
48,湖里南山南山路500-532号半山豪园一期,118.113677416166,24.50470312372149,44482,528.0,118.7,4,8,南北,21.0,1,满五年,中层,6.0
49,集美杏东路宁海二里19-24号禹洲中央海岸(三期),118.06103027140676,24.56631366821736,24821,228.0,91.86,2,5,南,8.0,1,满五年,低层,50.0
50,思明禾祥东路金榜路102-146号东方巴黎,118.10588266858294,24.47299265036745,57280,716.0,125.0,3,7,东南,21.0,1,满二年,低层,11.0
51,思明火车站厦禾路999号源昌商业中心,118.11414133962944,24.47653328035988,93837,918.0,97.83,5,9,南北,16.0,1,满五年,高层,11.0
52,思明松柏嘉禾路335号天宝大厦,118.121526834207,24.498009061058195,66113,159.0,24.05,1,2,南,20.0,1,,高层,31.0
53,思明禾祥西路湖滨西路5号叉车厂宿舍,118.07390486713176,24.46374208616453,66185,668.0,100.93,4,8,南北,26.0,1,满五年,低层,8.0
54,"集美集美新城诚毅西路,近锦亭北路中海杏林鹭湾",118.03904195154333,24.606819326248807,44538,468.0,105.08,3,7,东南,2.0,1,满二年,低层,26.0
55,思明松柏莲岳里32-204号莲岳里小区,118.11259483826568,24.49510071793057,56757,420.0,74.0,3,5,南北,27.0,1,满五年,中层,8.0
56,"翔安新店金曾南里7,9号东城合院(公寓住宅)",118.2432252338802,24.624345415501377,18961,163.0,85.97,3,7,南,10.0,0,,高层,40.0
57,思明火车站禾祥东一里1-32号文灶地铁社区一期,118.09871004701034,24.472168077770444,66237,728.0,109.91,3,7,南北,5.0,1,,高层,33.0
58,思明禾祥西路豆仔尾路171-179号富华广场,118.08338433297156,24.46678496610663,65821,819.0,124.43,3,7,南北,18.0,1,满二年,中层,12.0
59,同安城西凤祥五里101-132号厦航高郡,118.13237245808249,24.72716114464005,20359,135.0,66.31,3,6,南,11.0,0,,高层,29.0
60,湖里南山康乐路200号检察院宿舍(湖里),118.10863913520718,24.507727503116367,32693,255.0,78.0,2,4,南,31.0,1,满五年,中层,7.0
61,思明禾祥西路湖滨南路94-104号五龙大厦,118.0888368609412,24.471816741864444,63138,860.0,136.21,4,9,南北,23.0,1,满五年,低层,15.0
62,同安环东海域同集中路1275-1297号中联观云溪,118.13102329173924,24.66311579938285,16166,158.0,97.74,4,8,南,7.0,0,,低层,16.0
63,思明禾祥西路后江埭路46号嘉成花园,118.0886937411342,24.47013878611212,54760,730.0,133.31,3,7,东南,24.0,1,,高层,11.0
64,思明莲坂湖明路146-156号碧湖豪庭,118.11159598338442,24.4871370632265,62911,249.0,39.58,1,3,南,20.0,1,,高层,11.0
65,"集美集美新城诚毅北路218-232,263,265,276,284,290-306,307-315号中交和美新城(公寓住宅)",118.04421297807386,24.60725394926055,41134,405.0,98.46,3,7,南,8.0,1,满二年,高层,32.0
66,思明松柏嘉禾路339号四川大厦,118.12136711162516,24.498872305836738,43868,372.0,84.8,2,5,东西,21.0,1,,中层,28.0
67,集美杏前路锦英南二里55-66号凤凰花城(二期),118.01571656866592,24.58933104609629,18643,220.0,118.01,4,8,南,8.0,0,满二年,高层,33.0
68,"思明东浦路东坪三里107-111,115号东坪花园(二期)",118.11861994951542,24.469959664154032,49339,966.0,195.79,5,10,南北,6.0,1,满五年,高层,18.0
69,同安城南双吉路102-164号同安大唐世家六期,118.13526328871556,24.715435298139276,16807,78.0,46.41,3,5,南,18.0,0,满五年,中层,7.0
70,思明长青路嘉禾路281-285号台亚大厦,118.11969551932116,24.48895828857077,37978,338.0,89.0,2,5,北,23.0,1,满五年,高层,19.0
71,"湖里金尚金国里7-63号,金泰里4-106,金安里1-63号,金民里2-22号金尚小区",118.14563501337145,24.495814956737625,42362,358.0,84.51,3,6,南北,26.0,1,满五年,中层,7.0
72,思明禾祥东路后埭溪路111-145号银龙广场,118.10168834252904,24.470907106434968,51162,718.0,140.34,3,7,南北,24.0,1,满五年,高层,19.0
73,思明禾祥东路禾祥东路20号龙祥花园,118.1031168245031,24.472339390124628,63992,598.0,93.45,3,7,南北,24.0,1,满五年,低层,6.0
74,思明松柏长青路451-480号江头(长青)K小区,118.11655685611386,24.49158288254111,45195,348.0,77.0,3,5,南北,31.0,1,满五年,低层,6.0
75,湖里象屿保税区昌鸿路3-29号鸿图苑,118.09454473338276,24.519438183541848,29031,242.0,83.36,2,5,南,27.0,1,,高层,8.0
76,思明松柏仙阁里1-162号仙阁里花园,118.11132205184032,24.49962430552899,40901,358.0,87.53,2,4,南北,28.0,1,,高层,7.0
77,"翔安隧道口欧厝西里30-33,57-68号世茂御海墅(公寓住宅)",118.23765523477104,24.54667672861552,18224,213.0,116.88,4,8,南北,6.0,0,满五年,低层,40.0
78,思明火车站东浦路26号梧村街道办宿舍,118.1206858638306,24.473409765568448,35704,368.0,103.07,3,6,南北,20.0,1,满二年,中层,7.0
79,思明莲前西路莲前西路14-16号阳光百合,118.12019469549432,24.478980690535224,55027,468.0,85.05,3,7,南,21.0,1,满二年,高层,18.0
80,思明火车站厦禾路882-886号(双号)禹洲世贸国际,118.10865487479394,24.470646436329897,48602,318.0,65.43,2,4,东北,16.0,1,满二年,中层,41.0
81,集美集美新城杏北七里1-21号龙湖春江郦城(一期),118.04671903660586,24.586476789626516,34021,330.0,97.0,3,7,南北,9.0,1,满五年,低层,32.0
82,思明火车站金榜铁路家园1-50号金榜铁路家园,118.10665379465397,24.469073662425547,67290,396.0,58.85,4,8,南北,36.0,1,满五年,低层,7.0
83,同安环东海域美人山一里2-28号禹洲大学城,118.12300098411109,24.624599636226936,16984,116.0,68.3,2,5,南,12.0,0,满五年,高层,35.0
84,思明火车站厦禾路889-897号罗宾森璀璨新城(一期),118.10779688489272,24.47175009570845,58849,553.0,93.97,3,7,南北,12.0,1,满五年,中层,31.0
85,湖里市行政中心穆厝里7-11号特房五缘新座,118.15666879519094,24.516302435635136,62112,559.0,90.0,2,5,南,11.0,1,满二年,低层,25.0
86,思明禾祥西路湖滨南路138号希望大厦,118.09080196270187,24.47187858126304,54756,399.0,72.87,3,6,西南,25.0,1,满二年,中层,29.0
87,思明禾祥西路湖滨南路130-140号湖滨南路130-140号小区,118.09034097342246,24.4722805589686,45385,236.0,52.0,2,5,南北,34.0,1,,高层,7.0
88,"翔安隧道口浦园三里18-20,22,23,34号阳光城翡丽湾(一期南区公寓住宅)",118.224467117928,24.560997655304977,22994,196.0,85.24,3,6,西南,9.0,0,,高层,31.0
89,思明会展中心文兴东五里1-18号明发国际新城,118.17415481445757,24.469750835413077,39023,530.0,135.82,3,7,南,23.0,1,满五年,中层,9.0
90,思明槟榔槟榔东里1-115号槟榔东里(单号区),118.10899454532267,24.48426509822245,53014,285.0,53.76,2,4,西南,26.0,1,满二年,高层,6.0
91,湖里金山金山西二里40-90号宏山新村,118.14568499446172,24.50705443449587,33824,253.0,74.8,2,5,南北,21.0,1,,高层,6.0
92,湖里嘉园路嘉园路10-20号世纪嘉园(西区),118.10517422158884,24.51838164677058,41524,218.0,52.5,2,4,南,20.0,1,满五年,中层,7.0
93,湖里南山华嘉路21-51号青翔花园,118.0952029930654,24.505463367005405,45299,500.0,110.38,3,7,南北,19.0,1,满二年,中层,6.0
94,集美集美新城九天湖二里1-11号中航城国际社区(C区东区),118.04477218874176,24.59732508924659,28421,279.0,98.17,3,7,南,9.0,1,满五年,高层,33.0
95,思明白鹭洲天湖路42号大正大厦,118.08525564191004,24.47170618148115,44950,465.0,103.45,3,5,东北,23.0,1,满五年,中层,21.0
96,同安城南同集中路1301-1307号阳光美郡,118.1274005775769,24.663296559645005,12539,110.0,87.73,2,5,南,12.0,0,满二年,高层,18.0
97,集美集美新城西亭北二路17-25号建发央著(一期),118.03762116669934,24.601829036531004,44772,426.0,95.15,3,6,南北,4.0,1,满二年,高层,39.0
98,集美集美新城杏北三里11-117号橡树湾(一二期),118.04156839865644,24.58288330012952,22285,199.0,89.3,2,5,南,10.0,1,满五年,低层,18.0
99,思明莲前东路西林西二里31-38号金沙花园,118.1325639750359,24.4773330489216,40019,608.0,151.93,4,8,南北,18.0,0,满五年,低层,9.0
100,"思明禾祥东路凤屿路21-17号,禾祥东路89-93号富城花园",118.1105439234909,24.475386609478704,65187,558.0,85.6,2,5,南,15.0,1,,高层,18.0
101,思明文灶文屏路37-55号领秀城,118.10669376212296,24.464194314752177,56427,885.0,156.84,4,8,东南,15.0,1,满二年,低层,32.0
102,集美杏东路宁海二里10-15号禹洲中央海岸(一期),118.06085026042592,24.56453635427997,27753,279.0,100.53,4,8,东南,8.0,1,满二年,中层,37.0
103,湖里五缘湾运动馆五缘东三里1-9号五缘公寓,118.1801534177041,24.526665996049235,40270,370.0,91.88,2,5,南北,16.0,1,,低层,30.0
104,思明东浦路东坪山路11-61号东坪山庄,118.11803919467548,24.470559664961925,65321,592.0,90.63,3,7,南北,18.0,1,满二年,高层,12.0
105,"同安环东海域滨富一里1-8,滨富二里1-16号保利叁仟栋壹海里",118.14989669128389,24.64068173725055,28761,360.0,125.17,4,8,东南,5.0,0,,高层,46.0
106,翔安新店祥福五里1-22号汇景新城中心,118.23902849822646,24.622694428023895,16361,140.0,85.57,2,5,南,12.0,0,满二年,低层,17.0
107,翔安新店洪前北里1-9号禹洲卢卡小镇(公寓住宅),118.25909335939753,24.595316033627515,15792,148.0,93.72,2,5,南北,8.0,0,满二年,中层,35.0
108,思明前埔前埔东一里17-32号华林东盛花园二期,118.16941504739884,24.478253920092214,46186,336.0,72.75,2,5,南北,18.0,1,满五年,高层,11.0
109,"湖里湖边水库片区观日西二里10-12,28-36号世茂湖滨首府(D区)",118.1650891037675,24.492220120757107,49042,816.0,166.39,4,8,南,9.0,1,满二年,低层,32.0
110,思明东浦路东浦路75-79号东浦花园,118.12230520074924,24.47492409827421,43097,358.0,83.07,3,5,东北,16.0,1,,高层,17.0
111,集美集美新城诚毅西路372-388号建发央著(二期),118.0394426689587,24.60586643460763,44087,460.0,104.34,3,7,南,3.0,1,满二年,高层,33.0
112,湖里湖里大道悦华路163-193号龙腾花园(一期),118.11120828357232,24.518037871226834,28885,290.0,100.4,3,6,南,21.0,1,满五年,中层,8.0
113,思明文灶汇文路51-57号城市花园,118.10069917049566,24.470374520615003,61126,628.0,102.74,4,8,西南,24.0,1,满五年,中层,30.0
114,湖里五缘湾运动馆五缘东二里1-17号国贸蓝海(公寓住宅),118.18004168684332,24.530031443808923,48466,900.0,185.7,4,8,西北,16.0,0,,低层,21.0
115,思明湖滨北路凤凰西里1-4号禹洲世纪海湾,118.07833665436208,24.481381219324565,69789,690.0,98.87,3,7,北,16.0,1,满二年,中层,37.0
116,思明禾祥东路禾祥东路172-188号源昌广场,118.11099209727,24.47431752284558,52025,568.0,109.18,3,7,南,18.0,1,满五年,低层,17.0
117,翔安隧道口浦园一里22-39号明发半岛祥湾(B区),118.22864769318451,24.56725111620209,18629,170.0,91.26,3,6,南北,10.0,0,,高层,17.0
118,思明中山路霞溪路173-187号思东商厦,118.0754958573595,24.459644752271156,56614,550.0,97.15,2,5,南北,26.0,1,满五年,高层,12.0
119,思明火车站厦禾路945-947号官邸大厦,118.11315294141497,24.47485120335209,66469,335.0,50.4,2,6,南北,24.0,1,满二年,中层,17.0
120,集美集美新城九天湖五里1-28号中航城国际社区(C区西区),118.04204251354945,24.597332230260164,34268,335.0,97.76,3,7,南,10.0,1,满五年,高层,26.0
121,海沧海沧生活区沧翔路58-80号天乙广场,118.0258119495452,24.497329876693502,21284,138.0,64.84,2,4,南北,21.0,1,,高层,8.0
122,湖里祥店祥店里80-108号国贸阳光,118.13879144092438,24.50519941416176,47087,598.0,127.0,3,7,南,18.0,1,满五年,中层,11.0
123,思明槟榔槟榔西里14-146号槟榔西里双号区,118.10695502843,24.482393988440435,91581,558.0,60.93,3,6,南,35.0,1,满五年,低层,7.0
124,思明松柏湖滨北路175-181号英皇湖畔花苑,118.11851440167884,24.491642779004827,53867,746.0,138.49,3,7,北,16.0,1,满五年,高层,29.0
125,思明禾祥西路禾祥西路234-244号万禾花园,118.08951621235852,24.469342111002263,54463,368.0,67.57,3,6,南北,21.0,1,满五年,高层,7.0
126,湖里江头双浦东里1-9号筼筜温莎公馆,118.13581185761018,24.50016186163661,46086,578.0,125.42,3,7,南北,8.0,1,满五年,高层,30.0
127,思明将军祠文园路29-49号橡胶新村,118.09848678444708,24.466490517040555,61277,435.0,70.99,3,5,南北,41.0,1,满五年,中层,7.0
128,思明火车站厦禾路1084-1088号元利花园(西区),118.11486279647342,24.47407212613056,50527,398.0,78.77,2,5,东南,22.0,1,满五年,低层,8.0
129,思明禾祥西路厦禾路261-271号源昌国际城(二期),118.0760784469738,24.46360905237552,63392,880.0,138.82,3,7,南北,17.0,1,满五年,低层,28.0
130,湖里五缘湾南区日圆四里1-8号中央湾区琥珀湾,118.15694402772684,24.521857941400583,68547,778.0,113.5,3,8,南北,11.0,1,满五年,高层,30.0
131,"思明白鹭洲天湖路48,50号天湖苑",118.08585365929432,24.47201178339097,45582,588.0,129.0,4,8,西南,27.0,1,,低层,29.0
132,思明松柏屿浦路6-10号福利院宿舍,118.11604567905168,24.496639372766108,45613,275.0,60.29,2,4,南北,21.0,1,满二年,高层,7.0
133,集美杏北路杏北五里57-91号国贸天悦(二期),118.04529332381894,24.583003215042403,33033,428.0,129.57,3,7,南北,5.0,1,满二年,低层,32.0
134,厦门周边龙池开发区龙池商业街11号瑞鑫佳园,118.12372664369772,24.51566566250459,8606,50.0,58.1,3,6,南北,9.0,0,满五年,中层,7.0
135,翔安新店洪琳湖二里2-38号首开领翔花郡,118.23659063337496,24.60566675868585,21827,292.0,133.78,3,7,南北,10.0,0,满五年,中层,6.0
136,翔安马巷舫阳西一里1-108号万科金色悦城,118.25681509076068,24.662206749494832,15638,115.0,73.54,2,5,南,14.0,0,满五年,低层,35.0
137,思明将军祠阳台山路2号之1-之9中行宿舍,118.0963905170455,24.46113634113398,59321,520.0,87.66,2,5,南北,24.0,1,满五年,低层,7.0
