ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
51,徐汇华泾龙吴路2888弄1-37号盛华景苑,121.46280109923758,31.114617703085216,73884,645,87.3,2,5,南北,12.0
52,闵行莘庄工业区中春路3455弄南郊别墅(公寓住宅),121.37925096138225,31.092662877179215,66868,845,126.37,3,7,南,17.0
53,松江九亭涞寅路658弄绿庭尚城,121.31842158175144,31.152905691266895,47190,419,88.79,3,6,南北,13.0
54,"徐汇斜土路大木桥路103弄10,20支弄,大木桥路103,237弄,斜土路1275,1341弄大木小区",121.46937597692623,31.205724837255218,74057,310,41.86,1,3,南北,39.0
55,"杨浦五角场国权路39号,国权路43号财富国际广场",121.52551998146929,31.292918850537667,32180,251,78,3,6,南北,8.0
56,宝山杨行杨泰路2158弄1-68号远洋悦庭,121.43565152197898,31.401116195204704,48571,608,125.18,3,7,南,8.0
57,松江松江大学城广富林路1518弄绿地蔷薇九里(公寓住宅),121.23648353617313,31.0672587805851,40791,380,93.16,3,6,南北,13.0
58,松江洞泾陆家圈路63弄光明云庐,121.29915399973783,31.090913969828453,50519,580,114.81,3,8,南北,3.0
59,闵行古美罗阳顾戴路1199弄江南星城纯翠江南,121.39511099431367,31.142941065626587,62415,550,88.12,2,5,南北,13.0
60,闵行莘庄北广场山花路65弄阳明国际花苑(四期),121.38907599823654,31.125655869383266,62957,828,131.52,3,7,南,20.0
61,浦东潍坊新村浦电路138弄南泉大楼,121.52867249482601,31.225330227128634,71022,648,91.24,2,4,南,27.0
62,浦东金桥胶东路266弄金燕家苑,121.60069809163274,31.26019075680293,71832,650,90.49,2,6,南,22.0
63,徐汇华泾龙吴路2418弄1-160号华欣家园,121.46739521327673,31.125814915971603,64936,525,80.85,2,5,南北,20.0
64,松江九亭沪亭路71弄1-57号天宝恬苑,121.33171613718571,31.13726278089152,41220,338,82,2,5,南,21.0
65,浦东世博滨江东明路383弄(旧:南码头路1186弄130支弄)东明苑,121.51899918177237,31.18847607558863,68042,528,77.6,2,4,南,26.0
66,闵行春申畹町路99弄万科假日风景(春申万科城一期),121.40604570796442,31.10836014925166,55852,693,124.08,3,7,南北,18.0
67,闵行莘庄南广场疏影路711弄东苑新天地(南区),121.37508497974918,31.124776857775178,65265,760,116.45,3,6,南,20.0
68,闵行七宝中谊路888弄56-136号碧林湾(公寓住宅),121.36002677431598,31.14635871966439,68027,617,90.7,3,6,南北,18.0
69,浦东三林永泰路595弄金谊河畔,121.52277835305284,31.14527043380958,68911,780,113.19,3,6,南北,15.0
70,静安静安寺华山路339弄静安8号,121.45327564727089,31.224135780001056,52471,446,85,2,5,南北,19.0
71,普陀长征清峪路258弄上海豪园,121.37917927660256,31.246163203177282,72843,850,116.69,3,7,南,20.0
72,普陀武宁白玉路98弄江南名庐,121.42299700242936,31.242291861294696,83781,780,93.1,2,4,南,15.0
73,浦东曹路海松路52弄星颂家园,121.68251827273696,31.281151757467764,38354,315,82.13,2,5,南,12.0
74,闵行七宝宝南路55弄九星家园,121.37120888130417,31.161254411779645,65625,588,89.6,2,5,南北,3.0
75,松江泗泾古楼公路1858弄新凯家园(一期),121.24066209408332,31.11247122308843,28808,269,93.38,3,6,南北,18.0
76,浦东南码头东方路1968弄东方名筑,121.52598503423181,31.205728775283372,73448,1099,149.63,2,6,南北,21.0
77,"黄浦打浦桥鲁班路168弄,南塘浜路99弄大同花园(南区)",121.47959393261057,31.210863745884915,87654,820,93.55,2,5,南,24.0
78,"浦东金桥长岛路1267弄,长岛路1203弄,长岛路1201弄金桥新村四街坊长岛小区",121.59688855762602,31.269075220541055,61451,399,64.93,2,4,西南,27.0
79,徐汇田林田林东路414弄1-8号田林新苑,121.43336946666142,31.18009264346464,51819,342,66,2,4,南北,29.0
80,静安大宁万荣路388弄歌林春天(三期),121.45027801580665,31.279335429448924,97306,1098,112.84,3,6,南,18.0
81,金山枫泾强兴路36弄康发新苑,121.08314009070335,30.877755075450416,6968,63.9,91.68,2,5,南北,7.0
82,松江九亭涞亭北路99弄上海奥林匹克花园(南区),121.33321495992911,31.15421648764803,46034,488,106.01,3,7,南,20.0
83,浦东杨思杨思路855弄1-88号申江豪城,121.50640700462513,31.16982862617454,75642,899,118.85,3,7,南,20.0
84,黄浦董家渡黄家路99弄1-38号南花苑,121.50258920620773,31.222122277581335,101910,838,82.23,2,5,南,27.0
85,黄浦复兴公园建国中路1号建国公馆,121.47838849644673,31.21612235329287,87781,1158,131.92,3,7,南,21.0
86,宝山罗南美丹路689弄建发云锦湾,121.35047365453956,31.400524105013933,47300,465,98.31,3,7,南,4.0
87,宝山顾村沙浦路311弄新天地荻泾花园(公寓住宅),121.39212987764824,31.36012562086551,32131,308,95.86,3,6,南北,13.0
88,徐汇康健桂江路77弄1-62号花苑村玉兰园,121.41989156028137,31.150061424110643,45003,285,63.33,2,4,南,32.0
89,闵行七宝七莘路2628弄园艺新村,121.3631712029231,31.15168623192168,55230,358,64.82,2,5,南北,27.0
90,浦东张江川北公路3046号张江交江大楼,121.56841182380695,31.19534755805301,38359,315,82.12,2,4,南北,29.0
91,徐汇康健桂林西街9弄长海坊,121.42548171546996,31.163297341968867,57602,316,54.86,2,5,南北,25.0
92,"浦东高行双桥路180弄,双桥路220弄,双桥路218弄1-51号双桥小区",121.63346019188714,31.321671872065984,64369,310,48.16,1,3,南北,18.0
93,闵行莘庄工业区申北路566弄名仕世家花苑,121.38287274953738,31.095148029266,45993,408,88.71,2,5,南北,19.0
94,浦东外高桥兰嵩路360弄高行绿洲六期,121.59828775828836,31.329012836514185,43391,322,74.21,2,4,南北,13.0
95,"闵行老闵行宾川路311弄,江川路456弄瑞丽新村",121.41806636596162,31.00930209667601,19787,87.1,44,2,5,南北,9.0
96,松江九亭涞坊路599弄五洲云景花苑,121.31884773109418,31.156505866048708,46895,638,136.05,3,7,南,17.0
97,松江莘闵莘松路1288弄101-526号绿洲长岛花园,121.35208997564366,31.10455283788934,42378,385,90.85,2,5,南,23.0
98,"普陀长寿路澳门路508号,陕西北路1688弄,江宁路1389弄30号乐活居",121.44536346216954,31.252292943816208,119971,984,82.02,2,5,南,5.0
99,浦东川沙川图路300号海迪创客小镇,121.71646101592313,31.160913957716303,8664,99.9,115.3,2,5,南北,9.0
100,闵行春申莲花南路1288弄上海春城(南区),121.41578199223433,31.110320829336313,64421,715,110.99,3,7,南北,21.0
101,松江车墩银圩路365弄松南城云珠雅苑,121.25206455541313,30.98664264284738,10698,58,54.22,2,5,南北,9.0
