ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
36,闵行七宝七莘路2855弄万兆家园,121.34647323996299,31.15059339795929,60976,500,82,2,2,1,南,23.0,0,,中层,6.0,2,2,4,10,10
37,虹口凉城凉城路838弄中星凉城苑,121.46860021574231,31.301393329115434,76285,680,89.14,2,2,1,南,22.0,1,满五年,,5.0,1,1,10,10,10
38,闵行七宝七莘路2288弄东方花园(一期),121.35731914893017,31.14633389579259,62671,688,109.78,3,2,2,南,25.0,0,,低层,6.0,0,1,9,10,10
39,奉贤金汇金雄路1055弄金融街·奉贤金悦府,121.50058656094266,30.980218417770537,30304,300,99,3,1,2,南,,0,,,,0,0,0,7,0
40,闵行春申高兴路666弄江南名邸,121.39193453058411,31.110682165643553,56562,550,97.24,2,2,1,南北,19.0,0,,中层,14.0,5,10,9,10,10
41,浦东杨思杨思路855弄1-88号申江豪城,121.49540565449801,31.16624864214088,75642,899,118.85,3,2,2,南,20.0,0,,中层,14.0,2,1,10,10,10
42,浦东金桥长岛路1280弄金桥湾清水苑(三期),121.59046515044217,31.262376868884246,59452,718,120.77,3,2,2,南,24.0,0,,高层,6.0,2,3,10,10,10
43,闵行古美罗阳顾戴路1100弄新时代花园,121.38355527652728,31.143083977393065,60544,530,87.54,2,2,1,南北,13.0,0,,高层,13.0,1,2,10,10,10
44,静安大宁广中西路99弄1-92号新梅共和城,121.44519040536993,31.28359030716829,74563,678,90.93,2,2,1,南北,21.0,0,,低层,12.0,1,3,10,10,10
45,宝山通河新村虎林路800弄富浩花园,121.44771838379079,31.345863144229877,45024,408,90.62,2,2,1,南北,22.0,0,,低层,6.0,4,4,10,10,10
46,浦东世博上南三村1-102号上南三村(1-102号),121.49269524084293,31.175973774332473,50696,237,46.75,2,1,1,南北,25.0,1,满五年,高层,6.0,2,4,10,10,10
47,"徐汇斜土路小木桥路518弄,小木桥路538弄徐汇新湖云庭",121.45636014940267,31.193273043696244,80276,768,95.67,2,2,1,南北,19.0,1,满五年,中层,23.0,4,1,10,10,10
48,闵行古美罗阳顾戴路1199弄江南星城纯翠江南,121.38388513117403,31.139153923833383,72061,635,88.12,2,2,1,南北,13.0,0,,高层,13.0,1,2,10,10,10
49,"杨浦五角场国权路39号,国权路43号财富国际广场",121.51461976734828,31.289172343122985,32180,251,78,3,2,1,南北,8.0,1,满五年,高层,19.0,3,2,10,10,10
50,静安静安寺华山路339弄静安8号,121.44225002075082,31.219674891899597,48800,488,100,3,2,2,南北,8.0,1,满五年,高层,20.0,2,4,10,10,10
51,青浦赵巷盈港东路4709弄巷佳华苑(一期),121.18866342746435,31.161399330477124,27503,225,81.81,2,2,1,南北,12.0,1,满五年,低层,6.0,0,0,1,10,10
52,闵行古美罗阳龙茗路1458弄蓝色港湾(公寓住宅),121.38171398225931,31.14942945777472,73951,930,125.76,3,2,1,南,19.0,1,,低层,18.0,1,2,10,10,10
53,闵行莘庄北广场水清路588弄阳明国际花苑(一至三期),121.37744787359003,31.12276889569496,65074,858,131.85,3,2,2,南,23.0,1,,低层,6.0,0,1,10,10,10
54,青浦青浦新城外青松公路6048弄20-38号新青浦花苑(二区),121.11910619569277,31.158912235566284,24696,284,115,3,2,2,南北,24.0,1,满五年,中层,6.0,0,2,10,10,10
55,宝山杨行蕴川路1498弄天馨花园(公寓住宅),121.42088597128489,31.3905744090931,36945,399,108,3,2,2,南,15.0,0,,中层,7.0,0,0,1,3,9
56,松江九亭涞亭北路99弄上海奥林匹克花园(南区),121.32227773239819,31.149847470406357,46034,488,106.01,3,2,2,南,20.0,1,,,5.0,1,1,4,10,10
57,闵行春申莲花南路1111弄春申景城湖滨晨韵,121.40644642533891,31.10954014996084,70512,818,116.01,3,2,2,南,19.0,1,,中层,17.0,0,0,9,10,10
58,"浦东三林环林东路799,875,879弄杉林新月家园",121.52723855319273,31.146067443797268,53195,378,71.06,2,2,1,南,19.0,0,,中层,6.0,2,1,10,10,10
59,松江新桥陈春公路677弄金地都会艺境(公寓住宅),121.3423739270793,31.078418607568256,45714,505,110.47,3,2,2,南北,7.0,1,,高层,17.0,0,0,3,10,10
60,浦东张江益江路396弄1-85号玉兰香苑(二期C区),121.62941150461602,31.208562706589703,57526,485,84.31,2,2,1,南北,15.0,0,,低层,6.0,3,2,10,10,10
61,闵行莘庄北广场莘北路398弄金城绿苑(公寓住宅),121.36122248879596,31.115216476788586,54584,618,113.22,3,1,2,南,30.0,0,,,4.0,0,0,6,10,10
62,"松江泗泾泗凤公路508弄,泗通路198弄,泗宝路298弄金地褐石苑",121.25004541566187,31.115906511561683,41005,356,86.82,3,2,1,南,8.0,0,,高层,18.0,0,1,9,10,10
63,普陀长寿路江宁路1415弄世纪之门,121.43446853096171,31.249315473162113,82165,498,60.61,2,1,1,南,23.0,1,,中层,23.0,1,1,10,10,10
64,浦东三林三林路1662弄1-173号三林安居苑,121.52179582837057,31.147747778202525,52896,338,63.9,2,1,1,南北,26.0,0,,低层,6.0,3,1,10,10,10
65,浦东花木牡丹路145弄1-49号牡丹小区(浦东),121.54132033795216,31.20934382840987,73741,540,73.23,2,2,1,南,29.0,0,,低层,6.0,0,0,10,10,10
66,"普陀长征真光路1433弄,梅川路1500弄祥和家园",121.37513420923842,31.248964949457815,48445,436,90,2,2,1,南北,20.0,1,,低层,6.0,1,1,10,10,10
67,静安大宁大宁路883弄歌林春天馨园,121.4375899134993,31.273266896515505,77193,880,114,3,2,1,南北,20.0,0,,中层,7.0,3,3,10,10,10
68,徐汇徐家汇东安路149弄1-8号四季园,121.44754986096115,31.197745724068827,80468,950,118.06,2,2,2,南北,21.0,0,,低层,24.0,3,2,10,10,10
69,静安大宁广中西路999弄1-71号嘉茵苑,121.43079009692653,31.278339681884507,64388,998,155,3,2,2,南北,26.0,1,,高层,6.0,4,2,10,10,10
70,浦东川沙川图路300号海迪创客小镇,121.7056160337744,31.156996479788493,9541,110,115.3,2,2,1,南北,8.0,0,满五年,低层,16.0,0,0,0,8,10
71,宝山罗店年吉路100弄1-34号美罗家园年吉苑,121.34163330292628,31.4043056779207,29920,376,125.67,3,2,2,南北,7.0,1,满五年,高层,18.0,0,1,1,10,10
72,金山廊下漕廊公路6825弄万春苑,121.21907062549035,30.788550915428033,7316,65,88.85,3,2,2,南北,8.0,0,满五年,,5.0,0,0,0,5,0
73,"浦东航头航梅路818弄,航头路1808号亿联中心摩居",121.5755425014206,31.033097349972067,7975,63,79,3,2,1,南北,7.0,0,满五年,,5.0,0,1,0,5,10
74,杨浦鞍山辽源西路338弄英达苑,121.50255204662948,31.271234221284594,78895,979,124.09,3,2,1,南,20.0,0,,高层,31.0,5,2,10,10,10
75,浦东金桥东陆路2000弄金桥新城(二期),121.60622419487012,31.265184991702835,59418,630,106.03,2,2,1,南,19.0,1,,低层,11.0,2,1,10,10,10
76,"普陀长征真光路1058弄,真光路962弄真源小区",121.37621357213094,31.241767887248283,58990,628,106.46,3,2,1,南,24.0,1,,低层,7.0,1,0,8,10,10
77,静安新客站太阳山路188弄中海万锦城二期,121.45620991918805,31.251145906436406,50000,405,81,2,2,2,南,8.0,1,满五年,高层,26.0,3,2,10,10,10
78,青浦白鹤外青松公路2962弄镇南小区(青浦),121.07451905379892,31.192196927207707,11383,51.2,45,2,2,1,南,8.0,1,,中层,18.0,0,0,0,10,5
79,"浦东世博成山路668弄21-23号,35-58号恒大星级公寓(一期)",121.50817301320662,31.172209249903474,62217,728,117.01,3,2,2,南北,24.0,0,,中层,6.0,2,3,10,10,10
80,松江九亭虬泾路900弄象屿都城,121.33013261642988,31.126504046716594,36978,415,112.23,3,2,1,南北,11.0,0,满五年,中层,14.0,0,0,10,10,10
81,闵行颛桥沪光路555弄招商雍华苑(公寓住宅),121.40204419123964,31.07656907297125,58700,528,89.95,3,2,1,南北,13.0,0,,中层,8.0,1,0,8,10,10
82,松江松江新城中天路185弄港湾新城,121.2084148075267,30.93214374073397,11020,55.1,50,2,1,1,南北,5.0,0,满五年,中层,11.0,0,0,0,10,5
83,虹口四川北路华昌路183弄华清名苑,121.47075890012779,31.265946223307584,87139,958,109.94,2,2,1,南,21.0,1,满五年,高层,26.0,3,0,10,10,10
84,普陀长征清峪路258弄上海豪园,121.3679444525286,31.242345355177473,72843,850,116.69,3,2,2,南,20.0,1,,低层,6.0,2,3,10,10,10
85,徐汇徐家汇肇嘉浜路381弄香樟苑(徐汇),121.45505568024657,31.203384259273275,75222,850,113,3,2,2,南北,24.0,0,,高层,6.0,3,2,10,10,10
86,闵行华漕申滨路1051弄爱博二村,121.30048755328124,31.207850061892472,45955,380,82.69,2,2,1,南北,15.0,0,,高层,13.0,0,0,3,10,10
87,"浦东世博耀华路87弄,耀华路85弄1-10号上南花城",121.48525122239265,31.180467745121007,91816,930,101.29,2,2,1,南,22.0,1,,高层,11.0,4,4,10,10,10
88,宝山罗店抚远路1288弄美兰湖中华园铂境,121.35503578932978,31.409993262039073,45952,399,86.83,3,2,2,南北,11.0,0,,高层,6.0,1,0,1,10,10
89,闵行莘庄南广场腾冲路50弄金铭新水岸,121.3905216551055,31.10085858343025,60348,608,100.75,2,2,1,南北,19.0,0,,中层,10.0,3,0,10,10,10
90,宝山罗店罗和路118弄美罗家园慧苑,121.33815515705092,31.382607179244733,27072,148,54.67,1,2,1,南,7.0,0,,高层,18.0,0,0,0,4,9
91,普陀武宁白玉路98弄江南名庐,121.41186351843291,31.23800257506616,83781,780,93.1,2,1,1,南,15.0,1,,低层,8.0,2,3,10,10,10
92,徐汇徐家汇襄阳南路218号现代大厦,121.45260056560721,31.214035663699317,49800,498,100,3,2,2,南北,5.0,1,满五年,低层,28.0,3,3,10,10,10
93,长宁中山公园长宁路1818弄上海花城,121.39924499770474,31.221268612463785,92337,988,107,2,2,1,南,24.0,1,,高层,11.0,2,2,10,10,10
94,松江松江新城文宇路88弄绿地云峰名邸,121.18044520325557,31.048877582038422,34441,308,89.43,3,2,1,南北,14.0,0,,中层,11.0,0,1,0,9,0
95,浦东三林尚博路366弄湾流域城(三期公寓住宅),121.51200408086615,31.14906833415639,81061,728,89.81,2,2,1,南北,11.0,1,,高层,14.0,2,0,10,10,10
96,浦东金桥巨峰路1058弄新紫茂国际,121.60496939285606,31.282062452119522,47298,280,59.2,2,2,2,南北,4.0,1,满五年,低层,18.0,3,5,10,10,10
97,静安江宁路江宁路356弄静安紫苑,121.4486907097567,31.235963458607152,72000,720,100,3,2,2,南北,5.0,1,满五年,中层,29.0,3,2,10,10,10
98,宝山罗南美平路1060弄1-15号美罗家园宝欣苑三村,121.33126102087668,31.38987237673711,23478,195,83.06,3,2,1,南北,9.0,1,,高层,18.0,0,0,0,2,7
99,嘉定南翔金通路1737弄好世凤翔苑,121.31847400499147,31.286861708856094,56498,500,88.5,2,2,1,南北,6.0,0,,中层,20.0,0,0,3,10,10
100,宝山通河新村呼玛二村6-305号呼玛二村,121.44227211780904,31.34274464357602,44564,300,67.32,3,1,1,南北,30.0,0,,中层,6.0,3,3,10,10,10
101,闵行七宝七莘路2315弄广海花园,121.34974743858987,31.14686895505675,52034,545,104.74,3,2,2,南北,27.0,1,满五年,低层,6.0,0,1,6,10,10
102,闵行春申畹町路100弄万科假日风景(春申万科城二期),121.3985898135572,31.10661546128938,58727,678,115.45,3,2,1,南北,20.0,0,满五年,,5.0,1,1,10,10,10
103,闵行金虹桥吴中路511弄古北新城(二期),121.40006667650661,31.184946728724952,77161,800,103.68,2,2,1,南北,18.0,0,,高层,10.0,0,1,10,10,10
104,徐汇华泾龙吴路2418弄1-160号华欣家园,121.45636839511899,31.121608932664905,68028,550,80.85,2,1,1,南北,20.0,0,满五年,中层,6.0,5,0,10,10,10
105,静安大宁万荣路388弄歌林春天(三期),121.43927397801716,31.27483662608756,85860,830,96.67,2,1,1,南北,16.0,1,满五年,中层,18.0,3,4,10,10,10
106,徐汇田林漕宝路77弄万科华尔兹花园,121.42356066443399,31.17121081300156,99846,1550,155.24,4,2,2,南北,19.0,0,,高层,6.0,2,1,10,10,10
107,"静安西藏北路平型关路38号,平型关路18号和源大楼",121.46311237415911,31.266864092455,36426,470,129.03,3,2,2,南北,12.0,1,满五年,中层,7.0,1,0,10,10,10
108,"宝山大华行知路684弄,行知路638弄玉华苑",121.41046154569233,31.282909230951343,68354,686,100.36,3,2,1,南北,23.0,1,满五年,高层,9.0,0,2,10,10,10
109,宝山罗店美平路500弄美罗家园绣苑,121.33832363009577,31.391469472866255,31250,155,49.6,1,1,1,南,8.0,0,,中层,16.0,0,0,0,10,10
