ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
37,武清杨村街前进道新湾花园(南园),117.0602404229345,39.356512596937854,11736,110.9,94.5,2,2,1,南北,12.0,0,满五年,中层,10.0,0,0,0,4,4
38,武清杨村街新安路新城悦隽央著,116.98632234561876,39.39388128022802,14465,127,87.8,2,1,1,南北,3.0,0,满二年,中层,6.0,0,0,2,8,10
39,红桥双环邨街龙泉道与辰兴路交口西南侧中交·春风景里,117.12155742243198,39.199676608284925,19326,172,89,2,2,1,南北,,0,,,,1,1,10,10,10
40,北辰北仓北辰道388号长瀛御龙湾,117.11874566747444,39.22183653576731,20355,192,94.33,2,1,1,南北,13.0,0,满五年,高层,24.0,1,0,1,8,10
41,"武清杨村街翠通路,近强国道远洋香奈",117.0070145972703,39.378233093034254,12905,110,85.24,2,2,1,南,8.0,0,,高层,18.0,0,0,0,4,2
42,津南海河教育园区同德路与和慧南路交口融创·云潮府,117.380665431233,39.00451624135558,19888,177,89,3,2,1,南,,0,,,,0,0,10,10,10
43,滨海新区滨海城区新港二号路金融街滨海融御融翰苑,117.70831960419643,39.003300641548485,17475,155,88.7,2,2,1,南北,0.0,0,,中层,33.0,0,0,7,8,10
44,北辰双街镇双进道融创半湾半岛,117.08874797994501,39.27223487880975,11255,125,111.07,3,2,1,南北,8.0,0,,中层,28.0,0,0,0,0,0
45,津南海河教育园区新慧路融创中央学府(西区),117.37796728029522,39.003820713722476,12489,113,90.48,2,2,1,南,8.0,0,满五年,低层,32.0,0,0,10,10,10
46,"津南海河教育园区雅润路,近同声路雅居乐御宾府",117.35910215532246,38.98424714944302,20113,179,89,3,1,1,南,2.0,1,满二年,高层,7.0,1,0,0,10,5
47,津南咸水沽海鑫路与南华路交口东亚新华国樾华府,117.41120526903178,38.98063959424586,12800,143.4,112,3,2,2,南,,0,,,,0,0,4,10,10
48,"北辰普东街汾河道,近姚江东路宸欣家园",117.18566681755065,39.209521019726296,10730,103,96,3,2,1,南北,12.0,1,满五年,高层,18.0,0,0,1,10,10
49,"大港古林街海景三路,近港东四道海韵园(大港)",117.49844821949337,38.85835219217253,12212,119,97.45,3,1,1,南北,8.0,0,满五年,中层,16.0,0,0,7,10,10
50,"西青张家窝祥和大道,近枫雅道社会山西苑",117.0392994008943,39.048844054629164,13674,134,98,3,2,1,南北,3.0,0,满二年,低层,16.0,0,2,3,5,3
51,河东东新街河东区津滨大道万东路93号【4号线万东路B出口】城投|万欣城,117.2613267010819,39.12086428188913,30000,255,85,2,2,1,南,,0,,,,1,1,10,10,10
52,武清杨村街新安路雍鑫红星华府,116.98689920697723,39.39161537353099,14706,125,85,2,2,1,南北,5.0,0,满五年,低层,15.0,0,0,2,6,10
53,河东富民路月牙河南路27号金月湾花园,117.26592662078183,39.091726416517005,18910,163,86.2,2,2,1,南,14.0,1,满五年,高层,33.0,2,0,9,10,10
54,塘沽新港街大连东道远洋心里,117.70877257845493,39.00958030935423,11474,109,95,3,2,1,南北,8.0,1,满五年,高层,30.0,0,0,10,10,10
55,河西陈塘庄大沽南路和洪泽路交口天津湾海景芯苑(新房),117.23633793859882,39.08619965759598,26970,178,66,1,1,1,南,,0,,,,5,2,10,10,10
56,"塘沽工农村街泰达大街,近河北路首创国际城",117.65051243845393,39.05089390147658,13086,123,94,3,2,1,南北,10.0,0,满五年,低层,33.0,0,0,10,10,10
57,河北王串场街幸福道垣焕里,117.22697026298918,39.15422619798216,17913,128,71.46,3,1,1,南北,29.0,0,,,5.0,0,2,10,9,10
58,河西挂甲寺南北大街北洋新里,117.23339908377481,39.092074212890516,34209,142,41.51,2,1,1,东,24.0,0,,高层,7.0,7,1,10,10,10
59,塘沽北塘街胶州道联发欣悦学府,117.69644107682858,39.11644007862713,10861,101,93,3,2,1,南,7.0,0,,高层,18.0,0,0,0,1,4
60,东丽万新街沙柳南路与方山道交口上东金茂智慧科学城二期,117.28172276202882,39.111839863963965,24000,199.2,83,2,2,1,南北,,0,,,,0,3,10,10,10
61,"塘沽新港街春雨路,近新港三号路鸿正富贵嘉园",117.69544255665156,39.006384149143244,13685,130,95,2,1,1,南,13.0,1,,高层,23.0,4,0,4,10,10
62,东丽地毯路天山南路与方山道交口西北侧，地块东至天山南路，西至程万路，南至方山道，北至千山西道上东金茂智慧科学城五期,117.2833855396343,39.111679273336634,23300,209.7,90,3,2,1,南北,,0,,,,0,2,10,10,10
63,塘沽向阳街京山道1046号第7领地,117.64454637819053,39.02553573955417,10139,100,98.63,2,2,1,南北,17.0,1,满五年,高层,25.0,0,0,10,10,10
