ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
1273,郫都团结府河下街299号府河蓝湾,103.97818663591048,30.81241822593341,3026,36.0,119.0,3,7,南北,14,0,满五年,高层,6
1274,"天府新区麓山天府大道南段2599号,华都大街333号麓山蔚蓝卡地亚(别墅)",103.64210535948004,30.95972324226208,34000,680.0,200.0,4,9,南北,4,1,满二年,,3
1275,龙泉驿十陵十陵石雅街118号佳兆业珑樾壹号庄园,104.16447897684498,30.650844872914693,21718,430.0,198.0,4,9,南北,1,1,满二年,,3
1276,青羊外光华万润巷99号云门天玺,103.97989765939217,30.6777142052906,21758,718.0,330.0,4,9,南北,2,1,满二年,中层,6
1277,天府新区华阳剑南大道669号欧香小镇(别墅),104.05030771590548,30.510238149662182,26066,1400.0,537.1,6,14,南北,12,1,满二年,,4
1278,郫都三道堰水乡街439号堰乡苑社区,103.91913368190008,30.86665602885573,2772,25.5,92.0,2,5,南,15,0,满五年,,4
1279,崇州崇州城区上南街18号现代公寓,103.6702733492915,30.631060786459397,5665,89.8,158.54,4,8,西南,15,0,满五年,高层,7
1280,天府新区麓山蜀州路667号麓湖生态城白玉台,104.07444112206475,30.46274106396557,46875,1500.0,320.0,4,11,西南,9,1,满二年,,3
1281,武侯内双楠燃灯寺北街29号燃灯寺北街29号院,104.03350371230844,30.647522335145425,13005,72.8,55.98,2,4,南北,25,1,满五年,中层,7
1282,都江堰青城山梅花大道2号水映青城,103.6180425210338,30.92636577067784,8033,49.0,61.0,2,5,南北,9,0,满五年,,4
1283,天府新区华阳飞燕街500号万科天府锦绣绣院,104.0547749545614,30.442027378139453,36047,620.0,172.0,4,9,南北,4,1,,低层,22
1284,崇州崇州城区永康东路69号阳光东景,103.67954999505947,30.625281413207304,4911,68.8,140.12,3,7,东,15,0,满五年,,3
1285,高新区金融城天府大道北段1199号成都银泰中心华悦府,104.0634437300005,30.594686655470284,75902,2150.0,283.26,3,8,东南,6,1,满五年,高层,46
1286,天府新区南湖绿野路一段66号蓝润天府MIC(商住楼),103.79273290010862,30.68954033289492,13038,50.0,38.35,1,3,南,3,1,满五年,低层,27
1287,青白江青白江城区青江南路199号万达公园里2期,104.25035403192534,30.876283200459785,7603,85.0,111.8,3,7,南北,3,0,满五年,中层,9
