ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
38,渝北照母山金山大道28号万科城(一期),106.51836518241461,29.64475807169806,11355,124.9,110,3,2,1,南北,7.0,1,,高层,32.0,0,0,4,10,10
39,巴南龙洲湾巴滨路1号合谊理想城,106.52915981309866,29.408835156294643,10506,104,99,3,2,2,南,,0,,,,0,0,4,9,0
40,九龙坡谢家湾袁家岗158号金茂珑悦(北区),106.50940995795534,29.527204366652718,14997,120,80.02,2,1,1,西,8.0,1,,中层,20.0,2,1,10,10,10
41,南岸弹子石福民路38号国际社区观园(1期),106.59136603299638,29.59920542673082,13615,113,83,3,2,1,南北,13.0,1,,中层,33.0,0,2,6,8,10
42,九龙坡杨家坪新华七村202号新华春天,106.51584260675958,29.500997075562655,9265,90,97.14,3,2,1,南北,8.0,1,,高层,31.0,1,3,5,10,10
43,江北观音桥三钢一路与建新南路交叉口东南150米煌华晶萃城峯悦,106.5329777555221,29.57264552549562,18983,128,67.43,2,2,1,南,,0,,,,2,5,10,10,10
44,渝北大竹林礼洁路188号远洋九公子,106.48131506717883,29.66153348643897,11610,118,101.64,3,2,2,西北,8.0,1,,低层,18.0,1,0,0,2,10
45,沙坪坝大学城大学城东路9号协信城天骄名城(一期),106.31299965035362,29.585511571284382,10832,150,138.49,4,2,2,南北,8.0,0,,中层,6.0,3,2,10,10,10
46,江北南桥寺盘溪五支路江北公安分局旁（南桥寺地铁站3号口步行420米）中海寰宇时代璟悦(新房),106.51155543707927,29.512140132702125,19558,130,66.47,2,2,1,南,,0,,,,3,1,10,10,10
47,沙坪坝西永西盛路67号西著七里三组团,106.3533287900757,29.6164812034316,13132,130,99,3,2,2,西,5.0,1,满二年,中层,17.0,0,0,7,10,10
48,沙坪坝大学城学智路900号龙湖U城10组团,106.28648358892073,29.61193151844238,13314,135.8,102,3,2,2,北,9.0,0,,中层,11.0,0,0,4,6,10
49,江北石马河宏帆路88号华美翡丽山,106.46801546054898,29.60333112590004,13769,95,69,2,2,1,南,,0,,,,1,0,4,10,10
50,南岸弹子石孙家花园路36号天誉智慧城雍江山,106.59462410688182,29.59208468020978,11164,130,116.45,4,2,2,南北,4.0,0,,中层,33.0,1,4,7,10,10
51,渝北龙头寺文慧路17号保利香槟花园(F区),106.54548494076663,29.600244381022723,12185,111,91.1,3,2,1,南,12.0,0,,低层,29.0,2,0,10,10,10
52,渝北中央公园云飞路225号中交中央公园和颂,106.58999952274827,29.70658573873545,14517,135,93,3,2,2,南北,4.0,1,,中层,28.0,0,0,0,10,10
53,沙坪坝童家桥学灯路6号万科清水甲第,106.44615067219594,29.571127511764704,18900,189,100,3,2,2,南,,0,,,,1,0,10,10,10
54,九龙坡杨家坪杨家坪正街金辉云缦长滩,106.52020679686865,29.50222984946186,13738,136,99,3,2,2,南北,2.0,1,,中层,8.0,1,2,10,10,10
55,江北石马河国惠路32号国奥村(二期),106.4570647627279,29.595298239915365,12859,82,63.77,2,2,1,南北,9.0,0,,高层,33.0,2,1,5,10,10
56,南岸茶园新区广福大道17号银翔后住,106.64409372215663,29.509257316015,12850,115,89.5,3,2,2,南,8.0,1,满二年,低层,9.0,1,1,4,8,10
57,沙坪坝土主垄安大道与西林大道交汇处西永泷悦长安,106.3710194484286,29.61618825563614,13370,123,92,3,2,2,南,,0,,,,2,0,3,10,10
58,渝北照母山玥湖路8号玥湖园(二期),106.51558020527578,29.650095705361746,14954,156,104.32,3,2,2,南,6.0,1,,高层,18.0,2,1,3,10,10
59,南岸海棠溪御泰路201号和黄御峰(三期),106.58553379517407,29.537357168740378,11334,119,105,3,2,2,西,6.0,1,,高层,34.0,2,4,10,10,10
60,沙坪坝凤天路汇泉路6号（融汇沙小旁）万科星光天空之城,106.43429165499451,29.542882679100956,16586,136,82,3,2,1,南,,0,,,,0,0,3,2,10
61,九龙坡石桥铺玉灵路246号象屿公园悦府,106.46729913186014,29.52991850567161,10559,100,94.71,3,2,2,南,2.0,1,满二年,低层,29.0,1,4,10,10,10
62,渝北照母山金州大道15号象屿两江公元,106.53125700170803,29.64759351919154,14318,123,85.91,3,2,1,东北,8.0,1,,低层,29.0,4,1,9,10,10
63,巴南花溪龙洲大道1399号协信天骄溪悦,106.53203063527219,29.437116351899203,14403,130,90.26,3,2,2,南,7.0,0,,低层,11.0,1,0,2,10,10
64,南岸南岸区政府金成路1号时代都汇F组团,106.6386451138219,29.49310052057649,10850,115,106,3,2,2,南北,6.0,1,满二年,中层,24.0,0,2,10,10,10
65,沙坪坝土主西尊路和永祥路交叉口处中建启宸,106.37064195881806,29.621105247053276,16952,139,82,3,2,2,南,,0,,,,2,0,4,10,10
66,南岸弹子石星河路85号美心江与江南,106.59533027124066,29.610587082003427,10887,122.4,112.43,3,2,2,南北,4.0,1,,高层,15.0,0,1,1,4,10
67,九龙坡杨家坪石坪桥正街20号千山九龙天景,106.50405566775392,29.51851615804197,17200,129,75,2,2,1,南,,0,,,,1,0,10,10,10
68,渝北龙头寺新溉大道887号鲁能星城十一街区,106.5579684613553,29.603143452834207,11797,115,97.49,3,2,1,北,16.0,1,满二年,高层,32.0,3,1,10,10,10
69,大渡口双山双城路198号雅居乐御宾府(一期三期),106.45905200188959,29.490127530037025,10230,89,87,3,2,1,北,8.0,0,,高层,27.0,1,1,10,10,10
70,"北碚蔡家嘉瑞大道,近双华北路金科集美嘉悦(三期)",106.48059169473224,29.7264048973049,9618,88,91.5,3,2,1,东南,4.0,1,满二年,中层,33.0,0,2,2,10,10
71,渝北农业园区食品城大道创意公园旁建工筑美时光,106.60500188297507,29.651823708402404,15013,128,85.26,3,2,2,南,,0,,,,1,2,4,10,10
72,沙坪坝凤天路凤天大道110号书香美舍,106.4498892510987,29.535898084569904,10693,111,103.81,3,2,2,南北,18.0,1,满二年,中层,20.0,2,1,10,10,10
73,北碚蔡家安顺路815号融创溪山春晓(一期2号地块),108.44996233131764,30.761430678926917,12433,158,127.09,4,2,2,南北,2.0,1,满二年,高层,7.0,0,0,10,10,10
74,渝中解放碑解放西路69号金紫门大厦,106.5729166578124,29.552653285259854,10625,102,96,3,2,1,南北,24.0,1,满二年,低层,33.0,4,3,10,10,10
75,渝北冉家坝余松路450号佳居花园(B区),106.49082534138203,29.59871334911864,11414,105,92,3,2,2,北,16.0,1,,中层,31.0,2,3,10,10,10
76,渝北悦来欣悦路260号蓝光悦江府(一期),106.53969840327139,29.733825942189405,10796,138,127.83,4,2,2,南,6.0,0,,高层,8.0,0,1,0,4,3
77,沙坪坝杨公桥泉景三路2号融汇温泉城童话里D区,106.43873735039504,29.55482442300968,13474,128,95,3,2,1,南北,6.0,1,满五年,低层,33.0,0,0,1,10,10
78,巴南龙洲湾龙学街电建洺悦城公园里(二期),106.54193743842985,29.373351444900113,10148,138,136,4,2,2,西,5.0,1,,高层,13.0,0,1,5,10,10
79,渝中大坪石油路1号恒大名都(渝中),106.5025953682983,29.544866562947757,14238,168,118,3,2,2,南,9.0,1,满二年,高层,30.0,2,2,10,10,10
80,渝北空港新城福畅路12号泽科港城国际(一期),106.6059200690807,29.720728653777606,10569,107.8,102,3,2,2,东南,13.0,1,满二年,高层,25.0,2,2,10,10,10
81,"沙坪坝磁器口金磁路,近童家桥正街金融街金悦府",106.44553610748258,29.573874078117704,13495,131,97.08,3,2,2,北,7.0,1,,高层,32.0,1,0,10,10,10
82,渝北中央公园茂华路5号鲁能泰山7号六街区,106.5745939135279,29.715500282290414,11650,113,97,3,2,2,南北,6.0,1,满二年,中层,26.0,2,1,1,2,10
83,北碚蔡家同荣路233号名流印象(三期),106.49423222280615,29.742943302413586,11567,96,83,3,2,1,北,15.0,1,,高层,22.0,1,1,6,10,10
84,沙坪坝三峡广场泉景三路1号融汇温泉城童话里E区,106.43863257382438,29.55676391885532,12143,102,84,3,2,1,南,9.0,0,,低层,33.0,0,0,1,10,10
85,渝北渝北黄泥磅龙头寺路39号黄龙花园,106.53706715623107,29.594859554943657,9531,77.2,81,2,2,1,南北,8.0,1,,低层,32.0,2,0,10,10,10
86,沙坪坝大学城大学城北路94号龙湖U城4组团,106.2867009056038,29.613876017224033,10803,148,137,3,2,2,东,12.0,1,满二年,中层,8.0,0,0,1,5,10
87,南岸刘家坪翠峰路2号龙湖康田麓宸澜山樾,106.65665195276891,29.529628263434233,11819,103,87.15,3,2,1,西,3.0,0,,高层,8.0,2,0,6,10,10
88,"九龙坡盘龙彩虹路109号,111号保利爱尚里尚悦",106.49300143330501,29.51495542723109,10236,87.8,85.78,4,2,2,南北,3.0,1,满五年,低层,20.0,0,1,10,10,10
89,南岸学府大道二塘路59号万科金域学府翰林菁华里,106.56263961505469,29.492837103561598,11294,106,93.86,3,2,2,东南,6.0,1,,低层,34.0,0,0,3,10,10
90,南岸茶园新区莲池路35号鲁能领秀城二街区,106.62730320511324,29.499293721568655,12935,119,92,3,2,1,东北,9.0,0,,高层,11.0,0,1,0,3,10
91,沙坪坝西永学城大道60号万云府,106.36893920012325,29.607045165097308,12161,119,97.86,3,2,2,南,4.0,0,,高层,18.0,4,2,4,10,10
92,江北石马河宏志路7号华美翡丽山(四期),106.46715928055563,29.603047595153317,12375,99,80,3,2,1,西北,6.0,0,,低层,21.0,1,0,4,10,10
93,北碚蔡家同康路玖著天宸启宸,106.48702409545334,29.72158510807893,12135,108,89,3,2,2,南北,3.0,1,满二年,低层,8.0,0,2,3,10,10
94,南岸南坪西路南坪西路32号上海城,106.55657254358364,29.53318754445821,13795,154.5,112,3,2,2,西南,21.0,1,,高层,33.0,0,3,10,10,10
95,沙坪坝土主文兴大道融创文旅城御铂北区,106.35144187964111,29.63327353693942,10320,129,125,4,2,2,南北,2.0,0,,低层,6.0,0,3,7,10,10
96,沙坪坝土主文城路3号融创文旅城御雅,106.34718107944418,29.637562386237615,10984,138,125.64,4,2,2,北,5.0,0,,高层,8.0,0,2,6,10,10
97,九龙坡奥体中心奥体路1号中新城上城上城花园,106.50595558759095,29.53165107192816,10051,99.5,99,3,2,2,南北,10.0,1,,高层,33.0,1,1,10,10,10
98,渝北龙头寺梧桐路15号渝铁家苑(一二期),106.55208587112837,29.607414566446106,11900,119,100,3,2,1,南,12.0,1,满五年,中层,28.0,4,0,10,10,10
99,北碚蔡家嘉景大道6号金科城37区,106.5060170266743,29.718103220549985,13258,124,93.53,4,2,2,南北,6.0,0,满二年,中层,6.0,0,0,2,10,10
100,南岸弹子石腾龙大道21号国际社区观邸3组团,106.59104291615176,29.597694924115736,11569,95,82.12,2,2,1,东,16.0,0,,低层,28.0,0,3,7,7,10
101,渝中大坪菜袁路168号江屿朗廷,106.52437324716114,29.540762165074426,11465,107,93.33,3,2,1,南北,8.0,1,满五年,高层,32.0,6,0,10,10,10
102,渝北龙头寺尚品路778号鲁能星城六街区,106.5502067286903,29.595125071030353,14167,190,134.12,3,2,2,北,11.0,1,满二年,高层,33.0,2,1,10,10,10
103,渝北大竹林绿竹路66号江与城江城时光,106.46289430643436,29.62605448890343,13647,105,76.94,2,2,1,南北,9.0,1,满五年,高层,32.0,0,1,3,10,10
104,九龙坡石坪桥云龙大道211号保利爱尚里尚景,106.49383596430543,29.514283700244636,13925,110,79,3,2,2,北,9.0,0,,高层,33.0,0,1,10,10,10
105,九龙坡陈家坪石杨路102号金辉彩湖云璟(南区),106.48452293624956,29.522782572097977,11920,118,99,3,2,2,南北,3.0,1,,高层,19.0,3,2,10,10,10
106,沙坪坝土主西桂路12号融创文旅城御林组团,106.34797324034999,29.642176702827914,10113,90,89,3,2,2,南北,8.0,0,,低层,33.0,1,0,2,10,10
107,南岸弹子石佛江路27号铂悦澜庭璞园,106.59136069354956,29.604754315918793,12041,157,130.39,4,2,2,西,4.0,0,满二年,低层,27.0,0,2,4,8,10
108,渝北礼嘉礼慈路16号龙湖昱湖壹号观云,106.49071985482786,29.672716115760878,13549,168,124,3,2,2,南北,5.0,0,,低层,31.0,1,1,0,10,10
109,南岸刘家坪广茂大道299号金科博翠园E区,106.6748279283462,29.5146246745509,9970,98,98.3,3,2,2,南,4.0,1,,高层,29.0,2,0,8,10,10
110,大渡口九宫庙铂桥路63号康田栖樾,106.4831485910456,29.4533931066218,12307,120,97.51,3,2,2,南北,10.0,1,满二年,低层,18.0,1,2,4,10,10
111,江北大石坝红原路66号华润中央公园悦玺,106.49547889744474,29.567235518245315,14286,130,91,3,2,2,南,8.0,1,满五年,高层,16.0,1,1,10,10,10
112,渝中化龙桥永嘉路45号雍江翠湖,106.50437677025727,29.55413775574315,14099,138,97.88,2,2,1,南北,7.0,1,满五年,低层,9.0,3,4,10,10,10
113,江北南桥寺福慧路46号光华可乐小镇(A区),106.4799519174073,29.596280131411376,11300,113,100,3,2,2,北,13.0,1,,高层,32.0,2,3,8,10,10
114,渝北龙头寺玉兰路201号保利香槟花园(B区),106.54318778356193,29.60521836627362,11863,121,102,3,2,2,北,17.0,1,,中层,18.0,2,0,10,10,10
115,江北五里店凤澜路89号万科御澜道,106.56533056293247,29.597554070826302,19987,180,90.06,3,2,1,南北,6.0,0,,中层,11.0,2,3,8,10,10
116,渝中大坪石油路101号协信云栖谷,106.49046264259351,29.551119761056324,10226,116.5,113.93,3,2,2,南,13.0,1,满二年,高层,31.0,1,4,10,10,10
117,沙坪坝大学城思贤路41号恒大未来城一街区,106.3000739165113,29.589390876270333,7556,68,90,3,2,1,东北,2.0,0,,高层,32.0,0,1,10,10,10
118,巴南融汇汇宾一路239号融汇半岛江上公馆,106.51175347372475,29.47296090774568,8089,101.9,125.98,3,2,2,西北,5.0,0,,低层,33.0,0,1,7,10,10
119,渝中大坪下徐家坡路43号春语江山,106.53320038203107,29.54835580420501,10334,111,107.42,3,2,2,南北,10.0,1,满二年,中层,32.0,5,2,10,10,10
120,沙坪坝天星桥汇泉路25号融汇温泉城锦绣里,106.43473986297973,29.549154367393204,11379,129.9,114.16,3,2,2,东,8.0,0,,中层,32.0,0,0,1,8,10
121,九龙坡杨家坪西郊支路12号恒大绿洲(A区),106.50135560046031,29.510063513291197,11177,132.8,118.82,3,2,2,南北,13.0,0,,高层,33.0,1,0,10,10,10
122,北碚城南新区云清路160号海宇新城国际,106.38912966671575,29.80506693731895,8654,108,124.8,3,2,2,南北,16.0,1,,中层,12.0,0,0,6,10,10
123,江北石马河余溪南路80号两江春城春铭苑,106.47960745515488,29.598699264728108,20925,205,97.97,3,2,2,南北,8.0,1,满五年,低层,32.0,2,3,9,10,10
124,渝北龙溪红石路150号聚信广场,106.5024047518068,29.58399470208124,10159,128,126,3,2,2,西北,16.0,0,,中层,32.0,3,1,10,10,10
125,南岸刘家坪通江大道龙湖康田麓宸(四期),106.65689291819135,29.532384059568656,10404,99,95.16,3,2,2,南北,2.0,1,,高层,13.0,2,0,3,10,10
126,渝北冉家坝银桦路39号太阳园,106.49107864671076,29.596795190980824,10635,67,63,2,2,1,东,16.0,1,,高层,30.0,2,3,10,10,10
127,沙坪坝新桥凤望路29号华宇城M8组团,106.4427986722705,29.52433662213432,14190,149,105.01,3,2,2,南北,3.0,1,,高层,28.0,2,0,10,10,10
128,渝中临江门临江门20号怡景大厦,106.56772956837149,29.56421936514422,10376,103,99.27,3,2,1,东,24.0,1,,中层,34.0,5,4,10,10,10
129,南岸弹子石盘龙山18号盘龙花园(C区),106.60339578194274,29.597877401684165,9703,98,101,3,2,2,南,10.0,0,满二年,低层,25.0,1,4,10,10,10
130,渝北渝北黄泥磅洋河北路19号御景天成(渝北),106.53541048726349,29.58988924743004,11829,101,85.39,2,2,1,东北,15.0,1,满二年,高层,32.0,1,0,10,10,10
131,南岸弹子石腾龙大道50号锦江华府,106.59429111230004,29.599038916098205,10887,86,79,2,2,1,南,9.0,1,,高层,26.0,1,3,7,10,10
132,渝北中央公园公园西路雅居乐富春山居璟和里,106.57586573828239,29.700819952166732,10638,146,137.25,4,2,2,南北,4.0,0,满二年,低层,19.0,2,0,0,10,10
133,"南岸刘家坪天文大道80号,天晖路36号荣盛华府(一期)",106.64770501739504,29.52350963074711,12000,138,115,4,2,2,南,5.0,1,,中层,8.0,0,0,6,10,10
134,沙坪坝大学城大学城中路4号协信城立方一期,106.30474495315333,29.58501950305049,10124,82,81,3,2,1,南,7.0,0,,高层,26.0,1,1,10,10,10
135,九龙坡巴国城火炬大道12号天地源玖玺香都,106.47673187899893,29.50450008197517,12829,127,99,3,2,2,南北,2.0,1,,中层,8.0,0,5,10,10,10
