ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,busAround,schoolAround,shopping_mallAround
31,岳麓市政府杜鹃路858号奥克斯缔壹城,112.91008985494562,28.236648224037804,11440,150,131.13,4,2,2,南北,5.0,0,满五年,低层,32.0,0,3,10,10,10
32,雨花高桥马王堆南路79号西子花苑,113.02132261890893,28.184233117320726,9111,125,137.21,3,2,2,南北,12.0,1,,低层,17.0,2,1,10,10,10
33,雨花雨花区政府圭塘路228号香樟兰亭,113.02148465498172,28.141527884835284,11627,103.8,89.28,3,2,2,南,10.0,1,满五年,中层,32.0,0,1,10,10,10
34,岳麓雷锋大道谷苑路与汇智路交会处百世云境,112.82529624402376,28.214684527732164,12234,126,103,3,2,2,南,,0,,,,0,0,10,3,10
35,岳麓市政府金星北路二段89号岳麓恒大华府,112.92664267940926,28.247899910798125,14152,130,91.86,2,2,1,南,10.0,0,满五年,低层,26.0,0,4,8,10,10
36,"岳麓梅溪湖北映日路,近雪松路南山梅溪一方",112.86880173066196,28.18622234099939,12483,150,120.17,3,2,2,南,3.0,1,满二年,中层,48.0,2,0,10,5,10
37,芙蓉芙蓉车站北路湘湖北路168号佳天雅苑,113.00632965263758,28.21440264056527,10921,148.8,136.26,4,2,2,南北,23.0,1,,中层,13.0,2,2,10,8,10
38,岳麓麓谷文轩路579号天元涉外景园,112.86664097915944,28.2106716708245,11266,106,94.09,3,2,2,南北,7.0,1,满五年,中层,32.0,1,1,10,10,10
39,望城月亮岛银杉路与月亮岛路交叉路口往南约160米金富湘江悦城(新房),112.92284352871627,28.28961170728539,11299,127,112.4,3,2,1,南,,0,,,,0,0,10,10,10
40,"芙蓉人民东路人民东路,近望龙路中交中央公园",113.06263796038473,28.192757043999638,12809,149.8,116.95,3,2,2,南北,5.0,1,满五年,高层,34.0,2,1,10,1,10
41,岳麓梅溪湖南梅溪湖路梅溪湖金茂湾(二期),112.87721433642162,28.17975620246994,13887,200,144.02,4,2,2,南北,6.0,1,满二年,高层,33.0,1,0,10,3,3
42,天心大托铺机场口天心大道与老甫冲路交汇处招商蛇口璀璨学府,112.97112731417542,28.086737856595573,11316,129,114,3,2,2,南,,0,,,,0,0,4,3,10
43,开福万科城福元西路珠江好世界,112.98920572916343,28.256652739026432,12566,118,93.91,3,2,1,南,4.0,1,满五年,低层,34.0,1,0,10,5,10
44,岳麓市政府观沙路八方小区(B区),112.9340006098054,28.24273580525206,29014,403,138.9,3,2,2,南北,8.0,0,,中层,33.0,0,6,10,10,10
45,雨花井湾子井湾路17号城南故事,113.0089091602962,28.12460587901365,10491,94.6,90.18,3,2,2,南北,10.0,0,满五年,低层,30.0,2,1,10,10,10
46,望城金星北金星北路与月亮岛路交会处东北角明发阅江悦府三期,112.91431402764431,28.28956106680836,7782,120,154.21,5,2,2,南,,0,,,,0,0,10,10,10
47,天心芙蓉南路刘家冲路天心金桂园住宅小区,112.98986799432923,28.095310617179635,10908,148,135.69,4,2,2,南,10.0,0,,高层,11.0,1,1,10,5,10
48,岳麓银盆岭银杉路31号绿地中央广场,112.94614214994893,28.230422885412736,11157,110,98.6,3,2,1,南北,5.0,1,满五年,中层,31.0,2,1,10,10,10
49,雨花沙子塘黎托街道合丰路与合庆路交汇处西北角润和星河玥(新房),113.049445925513,28.17665414932941,10678,126,118,3,2,2,南,,0,,,,1,1,10,10,10
50,岳麓桐梓坡白鹤咀街99号公园里,112.9249691991462,28.21865693629048,12271,170,138.54,3,2,2,南北,12.0,1,满五年,高层,28.0,2,1,10,10,10
51,望城玫瑰园银星路时代倾城(一期),112.92471349845573,28.282126915470993,7695,90,116.97,4,2,2,南北,8.0,1,满五年,低层,32.0,0,1,10,10,10
52,岳麓市政府观沙路八方小区(C区),112.94054085008685,28.24161202055047,32477,403,124.09,3,2,2,南,8.0,1,满五年,中层,33.0,0,4,10,10,10
53,岳麓湖南财专谷丰南路9号高信向日葵,112.92064906715356,28.214238027794202,14007,134.8,96.24,3,2,2,南北,11.0,1,,中层,18.0,2,0,10,10,10
54,岳麓梅溪湖北沐风路19号梅溪青秀(二期),112.87442391265846,28.190625838309995,13989,132,94.36,3,2,2,南北,5.0,1,满五年,低层,31.0,3,1,10,10,10
55,开福黑石渡芙蓉北路与新安路交汇处东北角广润福园,112.95464326910856,28.31814785998764,8794,102,116,3,2,2,南,,0,,,,0,0,10,4,10
56,"星沙开元路东三路,近望仙东路华润凤凰城(三期)",113.08945244386095,28.252969480800825,11127,129.8,116.66,3,2,2,南北,11.0,1,满五年,低层,34.0,1,0,10,10,10
57,岳麓雷锋大道岳麓大道金辉优步花园,112.89664921242453,28.229760940066484,9231,120,130,3,2,2,南北,5.0,0,,低层,34.0,1,2,10,8,10
58,岳麓银盆岭银杉路香海西岸(西区),112.94972278433396,28.232449296437537,10271,126,122.68,3,2,2,南北,10.0,1,满五年,中层,12.0,1,1,10,10,10
59,雨花洞井铺振华路175号旭辉雨金广场(新房),113.02872876093498,28.07562613037413,10000,100,100,3,2,2,南,,0,,,,4,1,10,6,10
60,岳麓银盆岭咸嘉湖路216号蓝光雍锦阁,112.94481174620407,28.21508637443355,11883,128,107.72,3,2,2,南北,6.0,1,满五年,低层,21.0,1,2,10,10,10
61,岳麓梅溪湖南梅溪湖路佳兆业云顶梅溪湖(六期),112.8842212597481,28.180943071662863,13866,198,142.8,4,2,2,南北,7.0,1,,低层,34.0,1,0,10,2,10
62,开福山语城长沙市芙蓉北路与高冲路交汇处湖南建投向江徕,112.94887430432243,28.320433186607325,9260,100,108,3,2,2,南,,0,,,,0,0,10,3,10
63,雨花左家塘曙光中路东方新世界,112.99669202635289,28.179857111950092,11421,155,135.72,4,2,2,南北,29.0,1,满五年,中层,30.0,4,2,10,10,10
64,岳麓银盆岭银双路66号金色山庄,112.94482398048868,28.22688356219554,9289,113,121.66,3,2,2,南北,9.0,1,,中层,12.0,2,0,10,10,10
65,开福山语城芙蓉北路与新安路交汇处长沙北中心保利时代,112.95513847144643,28.31369858991426,10358,116,112,3,2,2,南,,0,,,,0,0,10,2,10
66,岳麓观沙岭潇湘北路三段668号中铁西江悦,112.95160810114373,28.258613432383985,13592,139.8,102.86,3,2,2,南,10.0,1,满二年,中层,27.0,0,2,10,9,10
67,天心新开铺木莲西路168号水墨林溪,112.96986439550766,28.132432044455037,10318,130,126,3,2,2,南,9.0,1,满五年,中层,26.0,0,2,10,10,10
68,望城普瑞大道桑梓路与黄金大道交汇处金富江山院,112.89898388751574,28.286004293610365,10160,119,117.13,3,2,2,南,,0,,,,0,0,10,8,10
69,岳麓银盆岭银盆岭路228号保利西海岸(B区),112.95386251042814,28.22570305651818,17447,135,77.38,2,1,1,南北,6.0,1,满五年,低层,44.0,2,1,10,10,10
70,岳麓梅溪湖北东方红路梅溪青秀(三期),112.87099005931562,28.191576875232396,14448,200,138.43,4,2,2,南北,9.0,1,满五年,高层,32.0,3,1,10,10,10
71,雨花高桥万家丽中路一段275号金地格林公馆,113.0264252250541,28.18147605896486,10370,118,113.8,3,2,2,南北,5.0,1,满五年,高层,26.0,0,1,10,10,10
72,岳麓观沙岭潇湘北路三段959号万科里金域滨江,112.95622789966932,28.240414176838893,16785,157,93.54,3,2,1,南北,8.0,1,满五年,高层,34.0,1,5,10,10,10
73,雨花汽车南站汇金路288号五矿万境蓝山,113.00297653247135,28.08191660446729,17578,240,136.54,4,2,2,南北,7.0,0,满五年,低层,7.0,3,2,10,10,10
74,岳麓洋湖湿地公园坪塘大道299号万科白鹭郡,112.93179630773253,28.135901377937465,14514,189,130.22,4,2,2,南北,11.0,1,满五年,高层,34.0,0,4,5,7,10
75,芙蓉万家丽晚报大道518号佳兆业时代广场,113.03067559163351,28.21161684684018,12691,116.8,92.04,3,2,1,南,8.0,1,满五年,高层,34.0,3,3,10,10,10
76,星沙万家丽北路万家丽北路88号山水湾,113.05014986642198,28.268633344536774,10814,136,125.77,3,2,2,南北,9.0,1,,低层,6.0,0,1,6,9,10
77,开福广电中心万家丽北路一段699号恒大雅苑,113.03904121715944,28.24911168366689,9549,138,144.53,3,2,2,南北,10.0,1,满五年,高层,32.0,2,1,10,10,10
78,岳麓梅溪湖南梅溪湖路佳兆业云顶梅溪湖(五期),112.8846227560641,28.179302228851423,14769,188,127.3,4,2,2,南北,5.0,1,满五年,高层,33.0,1,0,10,2,10
79,天心仰天湖轻院路141号钱隆首府,112.97549478656337,28.1727361597998,11887,124,104.32,3,2,2,南北,9.0,1,满五年,高层,32.0,1,3,10,10,10
80,岳麓梅溪湖南环湖路中海梅溪湖壹号(二期),112.8961681448899,28.190888294820954,16067,186,115.77,3,2,2,南北,7.0,0,满五年,低层,33.0,3,5,10,10,10
81,开福松桂园蔡锷北路司马里小区,112.97748961571571,28.206869272109316,10852,102,94,3,2,1,南北,14.0,1,满五年,低层,7.0,3,0,10,10,10
82,芙蓉汽车东站农园路恒大江湾,113.04303155400567,28.207041980672827,9873,125,126.62,3,2,2,南北,8.0,0,满二年,高层,29.0,4,2,10,10,10
83,雨花时代阳光大道联圭路169号中建嘉和城,113.04362353172691,28.096383510668566,12076,116,96.06,3,2,1,南北,5.0,1,满五年,高层,34.0,2,3,10,4,10
84,开福湘江世纪城湘江北路湘江世纪城瑞江苑,112.97105189109952,28.27383902971974,10163,99,97.42,3,2,1,南北,12.0,0,,中层,34.0,0,0,1,0,7
85,"开福开福区政府渔业路,近支路二珠江郦城公园一号",112.98842431805868,28.261119157993807,11972,145,121.12,3,2,2,南北,0.0,1,满五年,中层,32.0,3,1,10,7,10
86,"望城月亮岛普瑞大道,近银杉路万润滨江天著",112.91966091355935,28.298037422588294,11254,148,131.52,4,2,2,南,5.0,1,满五年,低层,34.0,0,1,10,8,10
87,天心浦沅芙蓉中路三段600号钱隆樽品,112.97532053894098,28.199019274670626,10509,123,117.05,3,2,2,南北,11.0,1,,中层,22.0,4,0,10,10,10
88,"雨花汽车南站韶山南路,近汇金路中海珑悦府",113.00408483515714,28.092867734725417,12077,140,115.93,3,2,2,南,3.0,0,满二年,低层,22.0,1,2,10,10,10
89,"岳麓观沙岭潇湘北路,近安居路万科里金域国际(一二期)",112.95463803592091,28.23455944780947,17195,190,110.5,3,2,2,南北,6.0,1,满五年,高层,47.0,1,2,10,10,10
90,芙蓉芙蓉区政府人民东路329号湘域熙岸,113.03672766098853,28.18889263728156,13654,125,91.55,2,2,1,南,10.0,1,满五年,高层,30.0,4,0,10,10,10
91,望城金星北银杉路润和湘江天地(C区),112.9264970087208,28.29008766472506,10460,115,109.95,3,2,1,南,4.0,1,满二年,低层,30.0,1,1,10,10,10
92,岳麓雷锋大道雷锋大道468号金科世界城,112.88861802065192,28.24779674449561,7797,103,132.11,4,2,2,南,6.0,0,满五年,低层,34.0,0,3,10,2,10
93,雨花井湾子井湾路458号中建桂苑金桂苑,113.01059428450627,28.128281408148034,8908,125.8,141.23,4,2,2,南北,18.0,0,满五年,低层,17.0,2,1,10,10,10
94,星沙开元路东四路中建悦和城,113.09874673046025,28.252801049730454,8462,110,130,4,2,2,南,4.0,1,,低层,34.0,1,1,10,10,10
95,岳麓雷锋大道岳麓西大道158号长房云时代,112.89018726998438,28.231286865799035,9136,82,89.76,3,2,1,南北,6.0,1,满五年,中层,34.0,1,1,10,8,10
96,"岳麓洋湖湿地公园许家洲路,近联丰路兰亭湾畔(二期)",112.9352442229509,28.131543357388626,11306,145,128.26,4,2,2,南北,5.0,1,满五年,中层,31.0,0,5,10,3,10
97,岳麓麓谷麓枫路59号麓谷E家人,112.89591612015917,28.21303634320191,9362,115,122.85,3,2,2,南北,16.0,1,,高层,17.0,0,1,10,10,10
98,岳麓湖南财专金星中路199号佳兴格林星城,112.92558376857981,28.214493293597393,10417,135,129.6,3,2,2,南北,12.0,1,满五年,低层,18.0,2,0,10,10,10
99,岳麓中海国际云栖路175号中海国际社区(三期),112.91346717576845,28.14064136392,10180,133,130.66,4,2,2,南北,6.0,0,,低层,33.0,0,4,10,10,10
100,岳麓观沙岭茶子山东路166号协信星澜汇,112.94841191005214,28.245953928975783,13968,198,141.76,4,2,2,南,9.0,1,满五年,低层,34.0,0,3,10,10,10
101,天心天心区政府芙蓉南路鑫远翡丽郡,112.98358717844035,28.108528308120306,13787,120,87.04,3,2,1,南北,4.0,1,满五年,中层,13.0,0,2,10,8,10
102,"雨花体育新城劳动东路,近花候路长房东旭国际(一期)",113.0018793427171,28.122274882004486,14452,168,116.25,3,2,2,南,3.0,1,满五年,低层,32.0,1,1,10,10,10
103,"天心奥特莱斯广场芙蓉南路,近披塘路鑫远悦城",112.98015565963303,28.0818183687824,9838,100.8,102.46,3,2,1,南,6.0,1,满五年,高层,17.0,1,0,6,1,10
104,岳麓咸嘉新村桐梓坡路519号高鑫麓城,112.92120600995285,28.220775620310928,13762,168,122.08,3,2,2,南,16.0,1,满五年,高层,28.0,3,1,10,10,10
105,岳麓银盆岭潇湘中路万科里金域国际(三期),112.95666405509945,28.237682282271578,23915,330,137.99,4,2,2,南,4.0,0,,中层,47.0,1,4,10,10,10
106,望城普瑞大道西雷锋大道金地三千府(别墅),112.86952743228989,28.277890897880948,12817,182,142,5,2,3,南北,6.0,0,满五年,,1.0,0,0,0,1,10
107,岳麓枫林三路正兴路118号荷塘月色(岳麓),112.88068782677523,28.21073837317172,8088,95,117.46,3,2,2,南北,10.0,1,满五年,低层,6.0,0,0,10,10,10
108,望城月亮岛月亮岛路润和滨江府(二期),112.91798874153169,28.289650277239687,11085,130.8,118,3,2,2,南北,5.0,1,满五年,高层,34.0,0,0,10,10,10
109,天心金盆岭赤岭路215号通用时代国际社区,112.97368812841435,28.152935759806777,13445,185,137.6,3,2,2,南北,7.0,1,满五年,高层,31.0,0,4,10,8,10
110,芙蓉万家丽万家丽中路一段112号东方新城,113.02216553071847,28.193746649072192,7917,83,104.85,3,2,2,东南,23.0,1,满五年,中层,6.0,3,3,10,10,10
111,岳麓桐梓坡西路雷高路山水梅溪雅郡,112.83654225907131,28.217998448932413,8802,126.8,144.07,4,2,2,南北,4.0,0,满五年,高层,31.0,1,0,7,10,1
112,望城月亮岛潇湘北路润和天地印湘江,112.92336159340192,28.298045887494442,10164,111.8,110,4,2,2,南北,5.0,1,满二年,中层,28.0,2,1,10,4,10
113,天心新开铺书院南路28号兴威帕克水岸,112.96895232962488,28.14722277751935,11034,115,104.23,3,2,2,南北,9.0,0,满五年,中层,30.0,0,3,10,6,10
114,雨花体育新城沙湾路9号半山壹号,113.03965308879971,28.157141156906107,11190,157,140.31,3,2,2,南北,5.0,1,满五年,高层,34.0,2,2,10,10,10
115,天心省政府雀园路468号北辰中央公园(AB区),112.97130410989459,28.098447801207733,11556,140,121.15,4,2,2,南北,8.0,1,满五年,高层,17.0,0,0,10,2,10
116,天心省政府湘府中路226号天城泰祥苑,112.98915632723711,28.11700957825017,11093,106.8,96.28,2,2,1,南北,14.0,1,满五年,高层,18.0,1,4,10,3,10
117,"星沙泉塘东六路,近社塘路中国铁建国际城(二期)",113.11002378216418,28.23535088695554,8057,68,84.4,3,2,1,南北,6.0,1,满五年,高层,34.0,0,1,10,1,10
118,岳麓阳光100后湖路阳光100国际新城(西区),112.9335190749361,28.14488216162456,9129,128,140.22,3,2,2,南北,9.0,1,满五年,中层,8.0,0,0,10,10,10
119,"望城月亮岛金星北路,近月亮岛路明发国际城",112.91570099369456,28.28915940098605,11294,131,116,4,2,2,南北,5.0,1,满五年,高层,34.0,0,0,10,10,10
120,星沙万家丽北路湘龙西路42号保利香槟国际,113.06214655522498,28.280738884177097,7998,86.8,108.54,3,2,1,南,9.0,1,满五年,高层,27.0,0,2,10,10,10
