ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
498,栖霞迈皋桥万寿村8号金山花苑,118.83538170259068,32.11702024583889,10875,87.0,80.0,2,4,南,21.0,1,满五年,中层,7.0
499,江宁麒麟科技城麒东路777号东郊小镇第六街区,118.94396800017653,32.05934019206608,15368,123.0,80.04,3,6,南北,14.0,0,满五年,低层,6.0
500,江宁将军大道将军大道62号天泰青城,118.7854142326228,31.914972794147047,22472,160.0,71.2,2,5,南北,11.0,1,满五年,中层,32.0
501,栖霞迈皋桥华电路85号中电颐和家园睿域,118.81199071831868,32.100137645887365,26320,188.0,71.43,2,6,南北,11.0,1,满五年,低层,17.0
502,"浦口桥北滨江大道,近明春路明发滨江新城(二期)",118.73973169675742,32.13262385418012,21951,300.0,136.67,4,7,南北,16.0,1,满五年,低层,18.0
503,鼓楼小市燕亭路小市村,118.793792039869,32.099276133386795,20587,132.0,64.12,2,4,南,36.0,1,满五年,低层,7.0
504,浦口桥北浦珠北路59号大华锦绣华城桂美颂,118.71791641621684,32.12096713240145,17583,230.0,130.81,3,7,南北,16.0,1,满五年,低层,9.0
505,鼓楼龙江龙腾街21号裕顺雅苑,118.74014039278286,32.06574802727349,41094,505.0,122.89,3,7,南北,21.0,1,,中层,11.0
506,江宁东山湖山路瑞祥佳苑,118.85501824446168,31.974380357461207,16966,155.0,91.36,2,5,南北,5.0,0,满二年,高层,11.0
507,滨江开发区滨江宁桥南路168号中国铁建原香颂,118.60250224542008,31.86112187792639,11581,102.0,88.08,3,6,南北,6.0,0,满二年,中层,17.0
508,江宁东山湖山路369号天元吉第城,118.86720778070362,31.950239652817324,24153,255.0,105.58,3,6,南北,18.0,1,满五年,中层,6.0
509,雨花台铁心桥江艺路25号春江新城新河苑,118.73910907409604,31.96493356801235,19443,180.0,92.58,3,6,南北,14.0,1,,高层,11.0
510,玄武锁金村锁金五村16号林化所,118.8131116225943,32.077195845796965,32292,155.0,48.0,2,4,南,20.0,1,满五年,,4.0
511,栖霞尧化门尧辰路3号东城世家,118.87871710689176,32.12685015993956,23576,245.0,103.92,3,6,南北,14.0,1,,高层,10.0
512,秦淮秦虹秦虹路313号乔虹苑小区,118.8019766944151,32.01678347272009,22481,145.0,64.5,3,5,南北,26.0,1,满五年,低层,7.0
513,鼓楼小市黄家圩29号黄家圩29号小区,118.78545124440843,32.09472970103109,17341,115.0,66.32,2,4,南,29.0,1,满五年,中层,6.0
