ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
15,青山和平大道和平大道1650号绿地派克公馆,114.4137585805604,30.642455451206544,10535,120,113.91,3,2,2,南,8.0,1,满二年,低层,34.0,1,1,10,10,10
16,汉阳郭茨口琴台大道与玉龙路交汇处保利庭瑞阅江台(新房),114.19548744646801,30.57640930976174,17965,203,113,3,2,2,南,,0,,,,1,0,4,10,10
17,洪山白沙洲白沙五路7号万科金色城市锦绣苑,114.26233545047084,30.480990513940213,12258,112,91.37,3,2,1,南北,9.0,1,,中层,34.0,0,0,3,8,10
18,汉阳钟家村归元寺南路1号远洋东方境世界观8号地块,114.25872204234174,30.545773395281937,19432,249,128.14,3,2,2,南,3.0,1,,高层,55.0,0,0,10,10,10
19,洪山珞狮南路苫风咀8号泰然南湖玫瑰湾一期紫玫苑,114.34103766740111,30.487676703130226,15130,170,112.36,3,2,1,南北,14.0,0,,中层,32.0,1,0,10,10,10
20,青山建设二路红钢一街32号（华侨城创意设计中心）华侨城红坊｜云岸,114.38791641490353,30.64556900951007,21044,242,115,3,2,2,南北,,0,,,,0,2,1,8,10
21,江岸后湖后湖大道150号世纪家园,114.28756153425272,30.64488510039853,15660,198,126.44,3,2,2,南北,19.0,1,,低层,6.0,3,0,10,10,10
22,洪山关西楚韵路17号华城新都,114.38858641687239,30.502661233613743,13820,135,97.69,3,2,1,南北,22.0,0,,中层,6.0,1,0,10,10,10
23,江岸永清街永安路6号武汉天地御江苑,114.30762980262897,30.611269458401914,46861,459,97.95,2,2,1,南北,12.0,1,,低层,33.0,2,3,10,10,10
24,洪山新南湖南湖小路9号保利公园九里(1-4期),114.30132673378847,30.510758221784577,15385,145,94.25,3,2,1,南北,11.0,0,,低层,34.0,1,0,7,10,10
25,江夏东湖高新高新六路武大人民医院东院区东侧约500米万科·光谷锦曜,114.44374411049154,30.442847104429067,18527,176,95,3,2,2,南,,0,,,,2,0,10,10,10
26,汉阳王家湾龙阳大道62号人信汇天誉,114.20505075247723,30.563851364530024,14030,158,112.62,3,2,2,南北,6.0,1,满五年,低层,48.0,2,0,9,10,10
27,江汉杨汊湖姑嫂树路99号福星华府誉境,114.2484414790936,30.639014151554214,14408,140,97.17,3,2,1,南,5.0,0,,低层,55.0,2,2,10,10,10
28,青山红钢城建设六路5号招商一江璟城(北区),114.39059688518645,30.64218175155981,17062,165,96.71,3,2,1,南,4.0,1,满二年,中层,56.0,1,2,8,10,10
29,洪山珞瑜东路光谷一路八小旁中央公园营销中心光谷中央公园,114.44066957570821,30.50256937527543,22019,240,109,3,2,2,南北,,0,,,,1,0,10,10,10
30,洪山白沙洲白沙洲大道万科城市之光,114.26834865156971,30.48448806882496,16018,188,117.37,3,2,2,南,4.0,0,,中层,46.0,1,0,6,10,10
31,武昌丁字桥宝通寺路20号百瑞景中央生活区(五期西区),114.33031940241568,30.528701302064174,22037,185,83.95,2,2,1,南,10.0,1,,高层,45.0,5,0,10,10,10
32,洪山光谷软件园关山一路168号中建康城(西区),114.40211299291812,30.47365474599507,17331,165,95.21,3,2,1,南,10.0,0,满五年,中层,33.0,0,0,10,10,10
33,洪山白沙洲白沙五路世茂云锦玉海园,114.25890733543113,30.48278712084361,13474,170,126.17,3,2,2,南北,5.0,1,,中层,34.0,0,0,1,3,10
