ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
36,钱塘下沙江滨6号大街和3号大街西北交汇处融创·杭曜之城,120.33862647603902,30.30379725243425,30000,315,105,3,2,2,南,,0,,,,0,0,10,10,10
37,"余杭闲林天目山西路,近闲富路雅居乐国际花园",119.97570122345975,30.23346512865832,19337,172,88.95,3,2,1,南,8.0,0,满五年,高层,34.0,0,0,0,10,10
38,临平星桥星都路广厦天都城滨沁公寓,120.247092733776,30.39037078210631,16583,148,89.25,3,2,1,南,5.0,1,,中层,24.0,1,0,3,10,10
39,余杭闲林云睦街时代天境,119.99877155224958,30.23261404808292,19482,190,97.53,3,2,2,南,1.0,0,,低层,18.0,0,0,5,9,10
40,临平崇贤崇杭街绿都东澜府,120.15229541531083,30.386500974051902,22316,197,88.28,3,2,1,南,5.0,0,满五年,低层,22.0,2,0,10,10,10
41,"萧山义桥时代大道,近新庙桥金域兰庭",120.18830299400229,30.085000068193438,19891,178,89.49,3,2,1,南,11.0,0,满五年,高层,18.0,0,1,1,10,10
42,钱塘下沙江滨27号路60号朗诗国际街区,120.38493181588176,30.302353006610844,19563,159,81.28,2,1,1,南,15.0,1,,中层,32.0,1,0,10,10,10
43,"临平临平北北沙西路,近星河路金都夏宫(公寓住宅)",120.26265816264596,30.43132625981599,17479,155,88.68,3,2,1,南,13.0,1,满五年,中层,40.0,0,0,2,10,10
44,钱塘金沙湖松湾路湾南德盛东苑东侧约180米潮映望月府,120.32387967359806,30.325456119761522,22240,278,125,4,2,2,南,,0,,,,0,0,4,10,10
45,"钱塘大学城北水云街,近云涛北路江山云樾府(南府)",120.38602246467813,30.33256929343579,22602,220,97.34,3,2,2,南北,1.0,0,,中层,25.0,0,0,10,10,10
46,滨江长河平安路38号铂金名筑,120.19049859249832,30.180132427613824,35186,285,81,3,1,1,南,9.0,1,满五年,中层,27.0,0,1,10,10,10
47,临平临平北临平大道567号璞云府(公寓住宅),120.2971235662615,30.447375703909128,19509,173,88.68,3,2,2,南,2.0,0,,高层,32.0,1,1,5,10,10
48,滨江长河平安路72号南岸晶都花园,120.18898595924725,30.18255683074083,32297,430,133.14,3,2,2,南北,15.0,1,,中层,11.0,0,1,10,10,10
49,临平临平北天荷路60号景瑞阳光城法兰公园(公寓住宅),120.28446754638753,30.443253849106338,18645,162,86.89,3,1,1,南,4.0,1,满二年,低层,25.0,2,0,6,10,10
50,西湖西湖三墩民意街45号都市水乡水秀苑,120.08791865315233,30.32635245756159,23355,215,92.06,2,2,1,南,18.0,1,满五年,低层,17.0,0,1,10,10,10
51,临平崇贤崇杭街祥生湛景星合映,120.14969301944824,30.386602706029517,20494,182,88.81,3,2,1,南,1.0,0,,低层,13.0,2,0,10,10,10
52,"萧山北干金城路,近风情大道中国铁建江南国际城",120.23432119711717,30.191909469748786,41800,368,88.04,3,2,1,南,7.0,1,满五年,高层,34.0,2,1,6,10,10
53,滨江彩虹城伟业路730号太阳国际公寓(公寓住宅),120.15431927263204,30.193270802488676,38830,455,117.18,3,2,2,南北,18.0,1,满五年,高层,31.0,1,1,9,10,10
54,上城长睦临丁路与华鹤街交叉口东南侧杭铁越秀星缦和润,120.2456918745571,30.37022096787144,26630,237,89,3,2,2,南,,0,,,,1,1,10,10,10
55,"滨江区政府扬帆路,近滨盛路绿地旭辉城",120.22468800480414,30.227041379249663,50682,450,88.79,3,2,1,南,7.0,1,满五年,低层,47.0,0,3,3,10,10
